,id,title,author,day,genre,story,serial,platform
0,0,바른쀼생활,윤박,"월, 일",일상,"원룸에서 츄리닝 차림으로 한 프러포즈, 그리고 결혼..? 스물일곱 동갑내기의 바른 ? 부부생활! 철없는 남편, 그런 그를 거친 생각과 불안한 눈빛으로 지켜보는 아내님! 두 사람의 요절복통 신혼일기, 바른쀼생활 !",O,레진코믹스
1,1,이토록 다채로운 핏빛,므앵갱,월,판타지,"피의 색으로 모든 것이 나뉘는 세상. 순수한 색일수록 높은 신분을, 섞이고 섞여 혼탁한 색일수록 낮은 신분을 지닌 채 살아가는 인간들 앞에 어느 날 흡색 이라는 무시무시한 존재가 나타난다. 아무 색도 없는 흡색들은 닥치는 대로 인간의 피를 탐하고, 이에 대항할 수 있는 것은 오직 빛눈의 은덕 을 입은 사람들뿐. 바로 그 빛눈의 은덕 이 어느 보잘것없던 소녀 시르에게 찾아오게 되는데...! 어둠이 스러지는 꽃 삼작미인가 므앵갱 작가의 신작!",O,레진코믹스
2,2,아스란히,포카,월,BL,"전쟁 중에 화살을 맞은 주인공 휘운 은 자신의 죽음 앞에서 좌절하는 소하 를 남겨두고 눈을 감는다. 그러나 죽은 줄만 알았던 휘운은 완전히 다른 몸으로 다른 장소에서 눈을 뜨고, 혼란스러워하는 그의 앞에 도깨비 하랑 이 나타난다. 그를 따라 찾아간 도깨비 마을에서 낯선 환경에 적응해 가던 휘운은 급기야 도깨비 왕 을 만나게 되는데...!",X,레진코믹스
3,3,사랑이라 생각하지 않아,스미야 제니코,월,BL,"토오노는 언제부턴가 소꿉친구인 이즈미가 자신에게만 보여주는 웃는 얼굴에 두근거리기 시작했다. 사랑은 아닐거야 라며 스스로를 속여보지만, 후배인 사쿠라바에게 속마음을 들키고 마는데...? 순수한 짝사랑을 사랑스럽게 풀어낸 청춘 !",O,레진코믹스
4,4,바퀴멘터리,박바퀴,"월, 화, 수, 목, 금",일상,제가 이러고 삽니다.,O,레진코믹스
5,5,BJ 알렉스[개정판],밍과,월,BL,해당 작품은 알렉스 성인 버전의 일부 장면을 수정한 개정판입니다. 방송 전문 알렉스에게 푹 빠진 진성팬 남동균은 그의 방송을 보며 홀로 그와 함께하는 상상을 하곤 하는데... 어느 날 인기 많은 엘리트 학생회장 안지원에게서 알렉스와 똑같은 나비 무늬 반점을 발견한다면?? 상상이 현실로 이루어질 수 있을까?,O,레진코믹스
6,6,모모세 헬프!!,성원,월,판타지,"단 하나 남은 가족인 남동생마저 불의의 사고로 떠난 후, 그녀는 죽고 싶어도 죽지 못하는 신세가 돼버렸다. 17세 고등학생 모모세, 그녀에게 붙은 수호천사는 축복, 아니면 저주? 그러던 어느 날 모모세는 동네 전단지에서 수상쩍은 단어를 발견한다. 그것은 바로 심.령.사.무.소 데일리 위치 성원 작가 신작!",O,레진코믹스
7,7,사람의 사이로,김보통,월,드라마,사람의 눈에 띄지않게 숨어 살아가던 요괴 가족. 그러나 40년 전의 한 사건을 계기로 사람들 속에서 사람인척 살아가기로 마음 먹는다. 그렇게 시작된 순박한 요괴 가족의 애잔한 사람살이.,X,레진코믹스
8,8,커튼콜 아래그랑,바싹탄숯,월,판타지,"신의 능력 커튼콜 을 가진 사설 심부름꾼 비기난, 책을 먹으며 식신을 다루는 지식인 스콘, 말괄량이 의사 콜롬보, 상냥하고 잔혹한 악마 이오나들의 모험과 배후에 숨겨진 천사와 악마의 음모가 장대하게 펼쳐지는 판타지 대 서사시!",O,레진코믹스
9,9,시트러스,사부로우타,월,백합,"외모는 영락없이 노는 여고생이지만 한 번도 사랑을 해본 적 없는 유즈는, 부모님의 재혼으로 전학가게 된다.남자친구가 안 생겨! 하고 불만이 폭발한 전학 첫날, 검은 머리 미인인 학생회장 메이와 최악의 방식으로 만나게 된다. 그후 우연히 메이와 훈남 담임선생님의 키스 장면을 목격하고 마음과는 반대로 그 장면을 머리에서 지울 수 없는 유즈. 게다가 학생회장과 의자매가 되어 같은 방에서 생활하게 되는데 ?! 정반대인 두 여고생이 서로에게 반발하면서도 이끌린다. 자매의 , 시작!",O,레진코믹스
10,10,러브 포엠,해연,월,BL,"잘생긴 외모, 재벌 2세 막내 도련님, 유명 시인. 누구라도 사랑할 수밖에 없는 남자, 태은 시인 은 처음으로 자신에게 차가운 연우 만화가 를 만나게 되어 난생처음으로 누군가에게 사랑 받기 위해 노력한다.",O,레진코믹스
