id,title,author,genre,story,score,platform
0,국왕과 성기사의 약탈혼,이린비 / 박지은,"스토리, 로맨스","그래, 왕이 되었지. 가지고 싶은 건 다 빼앗아 가지려고. 왕위를 찬탈하고 주변국을 점령하기 시작한 전쟁 군주, 블러디 칼리오페.고결하기로 이름난 성기사 이제키엘은전쟁을 막기 위해 인접국 알펜시아드로 향한다.그의 임무는 국왕의 요구를 따르고 전쟁을 피하는 것이었지만,왕궁에 도착한 그를 기다린 것은 국왕과의 외교가 아닌 약탈혼이었는데 .잔혹한 왕 칼리오페와 성기사 이제키엘.억지로 시작된 이들의 관계는 사랑으로 발전할 수 있을까?",9.78,네이버 웹툰
1,성경의 역사,최경민 / 영모,"스토리, 드라마","모두에게 사랑 받기에 모두가 증오하는 그녀, 성경 .원치않는 애정과 증오속에 성경의 대학 생활은 꼬여만 간다. 사랑해, 성경아.",7.43,네이버 웹툰
2,이츠마인,럭스,"스토리, 스릴러","어떻게 해야 널 지킬 수 있을까, 다정아? 10년 뒤 다정이가 죽는다는 메시지를 본 요한, 과연 그는 그녀를 지켜낼 수 있을 것인가.",9.97,네이버 웹툰
3,이세계 세입자들,kiki / 이음,"스토리, 로맨스","구두 제작 회사 킬 빌 의 디자이너 해서는 승진을 위해 강 팀장이 다닌다는 요양원 봉사활동에 참여하게 된다.봉사 활동 당일, 해서는 깊은 산속을 헤매다가 지나치게 화려한 요양원에 들어선다.까탈스러운 할아버지들의 요구에도 굴하지 않고 봉사 활동을 이어가던 중해서는 자신의 손자들을 소개해 주겠다는 한 할아버지의 말을 가볍게 흘려듣고는 집으로 돌아온 게 되는데 그날 이후 해서 앞에 쉴 틈 없이 화려한 남자들이 계속해서 나타나기 시작한다.이 세계를 구하기 위해 찾아온 황자들과 그저 평범하게 살고 싶은 해서의 동거가 시작된다!",9.45,네이버 웹툰
4,구독금지,김이연,"스토리, 스릴러",친구들과 만든 미스터리 호러 채널에 범죄자가 접속했다. 채널은 그야말로 대박이 나는데... 물 들어올 때 노 저어 말아?! 숨 막히는 생방송 스릴러!,9.9,네이버 웹툰
5,나의 스마트보이,긴유,"스토리, 로맨스","내 스마트폰이 사람으로 변해버렸다? 대학교 새내기인 나리가 돌연 사람으로 변해버린 자신의 스마트폰, 우주를 만나며 겪게 되는 좌충우돌 캠퍼스 로맨스.",9.13,네이버 웹툰
6,위치헌트 (Witch Hu...,은성 / 마른인간,"스토리, 스릴러",짙은 안개로 뒤덮힌 세계. 창궐하는 마녀들은 왕도의 심각한 위협이 되었고 왕은 마녀와의 전쟁에서 승리하기위해 병사가 아닌 마녀만을 잡는 전문 사냥꾼을 만들어낸다. 하지만 마녀사냥꾼들의 분투에도 무색하게 마녀들의 세력은 점점 왕도에 가까워지고 있는데 .,9.72,네이버 웹툰
7,두근두근 연극부,김태경,"스토리, 로맨스","결계녀 김태경 작가 신작. 전학생 김승민, 여자친구를 사귀기 위해 예쁜 애들이 많은 연극부로 직행한다. 그 연극부는 수많은 남학생들이 부원들의 미모에 속아서 들어왔다가 버티지 못하고 탈퇴해서 인원이 딱 1명 모자랐는데..! 우리 연극부에 들어올래? 1년간 연극부에서 버티면 부원들 중 누군가가 여친이 되어줄게",8.78,네이버 웹툰
8,두번째 생일,스프링,"스토리, 스릴러",열여덟 번째 생일 날. 차마 기억하고 싶지 않은 그것 이 찾아왔다.,9.43,네이버 웹툰
9,언플래시레슨,현,"스토리, 판타지","하라는 의문의 사고로 사회와 단절된 채 치료하며 지냈다.17살이 되던 해, 처음으로 자신이 원하던 학교에 입학하기 위한 준비를 마쳤다.입학 당일, 양부 김철수에 의해 초능력 학교, 특별 능력 고등학교 특별반 1학년 0반에 강제로 입학하게 된다.초능력을 쓸 수 없는 하라는 평범하지 않은 1학년 0반 친구들과 얽히게 되면서 학교에 적응하기 위해 자신만의 방법으로 무사히 졸업하기를 바라고 있다.",6.23,네이버 웹툰
10,미드나잇 체이서,석재윤,"스토리, 스포츠","고급차에 눈이 멀어 차를 훔친 고은구,불법도박 레이싱에 강제소환되어 위험천만 활극을 펼친다.",9.61,네이버 웹툰
