,title,day,genre,story,platform,t_image
0,그녀가 공작저로 가야 했던 사정,완결,로판만화,"의문의 사망 이후, 소설 속으로 빙의하게 된 재수생 박은하. 하지만 그녀가 빙의한 인물은 주인공도 아닌 약혼자에게 독살당해 죽는 엑스트라, 레리아나 맥밀런?! 그녀가 살아남을 유일한 길은 약혼자와의 파혼뿐! 레리아나 박은하 는 소설 남주, 노아 윈나이트에게 계약 약혼을 청하게 되는데 . 단 6개월만 약혼자 흉내를 내주신다면 그 후에는, 공작님 인생에서 깨끗이 사라져 드리죠. 좋아. 대신 내가 필요할 때에는 꼭 내 약혼녀로서의 역할을 해내 줘야겠어. 그러나 노아 이 자식 . 천사 같은 얼굴 뒤에 까만 속내를 감춘 악마보다 더한 놈이었다?! 그녀는 죽음의 운명에서 벗어날 수 있을까? 냉혈 공작, 노아 윈나이트 당찬 빙의녀, 레리아나 맥밀런의 파란만장 로맨스 판타지! 로고 디자인 디자인그룹 헌드레드",카카오페이지,bGxtne/hyCvnb6VWb/Z6w9OMlI9P83urVF0kLahK
1,묵향 디 오리진,완결,액션무협만화,"무협계 한 획을 그은 전동조 장편 소설 묵향 ! 암살자에서 무림 정점에 오르는 묵향의 이야기가 초대형 웹툰 프로젝트, 묵향 디 오리진 으로 돌아온다! 수많은 세력이 패권을 다투던 드넓은 중원의 무림. 어릴 적 마교에 납치되어 암살자로 훈련받은 2044호. 고된 훈련 속에서 목숨의 위협을 넘어 치열하게 살아남은 그는 실력을 인정받아 묵향 이란 이름을 얻는다. 그러나 묵향에게는 언제나 채워지지 않는 갈증이 있었으니, 그것은 바로 검의 길! 암살자로 사는 삶에 만족하지 못하던 그때, 묵향은 스승 환사검 유백 을 만나 인생의 큰 변화를 맞이하는데! 그는 자신이 좇던 탈마의 경지에 올라 무공의 정점에 오를 수 있을까?! 수많은 고수와 격돌하며 궁극의 무를 좇는 묵향! 전설적인 일대기의 서막이 다시 열린다!! 묵향 디 오리진 레드아이스 스튜디오 주 , 전동조 학산문화사 이용안내 묵향 디 오리진 은 전동조 작가님의 소설 묵향 의 1부의 이야기입니다. 이어지는 묵향 2부의 스토리는 묵향 다크레이디 를 검색하여 이용 부탁드립니다.",카카오페이지,bOZ06o/hyQ9Rwb9mA/Y0a3dyuSZfKOzHFmEOCKm0
2,나는 마도왕이다,완결,소년만화,"10년 전, 차원이 비틀리며 몬스터가 쏟아져 나왔다. 동시에 생겨난 초능력 각성자들이 몬스터를 잡으며 대세가 되는데... 성훈은 한 달에 네 번, 어머니의 병원비를 마련하기 위해 각성자의 사냥을 돕고, 뒤처리하는 위험천만한 39 짐꾼 39 으로 활동한다. 그러던 중 몬스터에게 큰 부상을 입고 전생을 기억하게 되는데... 34 어라, 나 죽었나? 34 34 나 전생에 대마도사 크라투라스였잖아!!! 34 전생의 기억을 가진 성훈의 갑질 마법이 시작된다!! 판타지 화제작 데카스펠 작가님의 나는 마도왕이다 본격 웹툰화! 세계를 휩쓰는 마도왕의 마법을 웹툰으로 만나 보세요!",카카오페이지,bnW34D/hyATvCSUg0/meX5zyKHHw6k4TqGj0nFMk
3,시카 울프,완결,로판만화,"제 인생에서 소중한 두 사람을 찾으려 나왔어요. 출생의 비밀을 간직 한 채 마법사의 탑에서 한평생을 보낸, 세상 물정 모르는 마법사 시카 울프. 제 일을 도와주시면, 사람 찾는 일을 도와드리죠. 그녀의 앞에 나타난, 첫사랑을 꼭 빼닮은 카서스 리안. 함께 마수를 추적하며 깊어지는 두 사람의 마음과 제국을 무너트리려는 거대한 사건. 첫사랑과 카서스. 그 사이에서 시카의 선택은?",카카오페이지,bdObQ3/hyQ9PZuqq9/zkgwfQyp2sozZCDMXi5OP1
4,그림자 황비,완결,로판만화,"34 내 딸이 되어줄 수 있겠느냐? 34 프란체 대공의 제안으로 가짜 딸이 된 엘레나. 황비가 되어 황태자의 아들을 낳고 입지를 다지는데, 죽은 줄 알았던 베로니카 공녀가 눈앞에 나타난다. 그녀는 인형에 불과했다 결국 엘레나는 아이를 빼앗기고 죽임을 당하는데 . 그런데, 다시 과거로 돌아왔다. 34 당신들 다 부숴버리겠어. 34 다시는 인형으로 살지 않으리라 엘레나는 복수를 결심했다.",카카오페이지,8lPj0/hyF24lS0pG/7Q29nkmQqwYntYmlzAWkhK
5,살인귀의 아이를 낳았다,완결,로판만화,정략결혼을 피해 원나잇을 한 여주가 아이를 배고 아비에게 학대를 당하다 남주와 정략결혼을 매개로 우연히 다시 재회한 후에 힐링 받으며 사랑받는 이야기. 티리안 자작의 딸 카린느는 결혼을 빙자하여 팔려갈 위기에 처하자 임신을 목적으로 하룻밤의 남자를 찾는다. 눈이 보이지 않는 미남자와 동침하고 나서 원하는 대로 임신한 카린느는 니텐스를 낳아 기른다. 아버지는 가치가 없어진 카린느를 박대하다가 매일 사람이 죽어 나간다는 소문이 난 대공가에서 아내를 구한다는 소리에 선뜻 그녀를 팔아치운다. 삶에 대한 어떤 의지도 남지 않은 무기력한 우울증에 시달리는 카린느는 그 소문의 39 살인귀 39 가 자신과 밤을 보낸 남자였음을 발견하고 깜짝 놀란다.하지만 대공은 카린느의 얼굴을 모른다. 이 우울한 여자와 귀여운 아이에게 왠지 모를 이끌림을 느낄 뿐이다.,카카오페이지,6HZMH/hyF28pb1F9/KQlPRxDE2GVaC97wgKKKiK
6,악녀의 정의,완결,로판만화,"난 이미 내 황후를 정했고, 넌 구색 맞추기일 뿐이야. 바로 내가 제국의 황후가 될 거예요. 가장 친한 친구에게 남자친구를 뺏긴 날, 나는 실수로 한강에 빠지고 말았다. 그리고 눈떠 보니 악녀로 이름난 공작영애 샤르티아나 알티제 카일론이 되어 있었다! 알고 보니 이 샤르티아나 영애, 황태자를 그 연인에게서 가로채려 했다고 한다. 그런 악녀 따위는 절대로 되지 않을 거라고 다짐하고 싶지만 차기 황후 후보, 레지나 로 간택되는 순간 내 운명도 결정되었다. 레지나 후보는 둘, 나 샤르티아나와 황태자의 연인 아이린. 모략이 휘몰아치는 궁정에서 사랑하는 가족을 지키기 위해 철저한 악녀가 되어 황후의 자리를 쟁취할 수밖에 없다. 그런데 현실을 받아들이기로 결심한 순간, 차갑기만 했던 황태자 레오프리드가 다른 얼굴을 보이기 시작한다. 그리고 아이린과의 관계에도 무언가 비밀이 ? 사랑하는 사람들과 행복해지기 위해, 나는 희대의 악녀가 된다. 달콤살벌한 궁중 로맨스의 새로운 정의! 소설에서 풀지 못했던 못 다한 이야기가 지금 여기에서 펼쳐집니다! 로고 및 표지 디자인 디자인 그룹 헌드레드 웹툰 악녀의 정의 는 매주 일요일, 주1회 연재됩니다.",카카오페이지,TLTji/hyCvlEFqsA/AdcAJjC5sdekT0t8IhxMQ1
7,도령의 가족,완결,드라마만화,"장녀, 장남, 차녀, 차남, 삼녀... 그리고 귀여운 막냉이까지! 짜맞춘 듯 아들 딸 세 명씩 모여 시끌시끌, 복작복작, 왁자지껄한 우리 육남매. 매일 밥 먹듯이 싸우면서도, 안 보이면 궁금하고... 그렇다고 보이면 속 터지고! 서로가 어딜 가서 연애하고 일한다는 게 신기할 따름! 특별한 일 없이도 하루하루 소란한 그들의 이야기 도령의 가족",카카오페이지,jzjXi/hyATuRtuUe/jvgWBmbRyltBrd6kdV9uV0
8,샬롯의 편지,완결,드라마만화,"언제나 책에 파묻혀 사는 소녀, 샬롯. 세상과 글에 대한 그녀의 꿈은 남동생이 전사하며 좌절되고, 생계를 위해 큰 후작가의 시녀로 살게 된다. 그곳에서 샬롯이 만난 두 사람. 베일에 가려져 정체를 알 수 없는 후작, 매튜. 긴 유학 생활을 끝내고 저택으로 돌아온 아가씨, 안나마리. 이 두 사람은 샬롯에게 각자 은밀한 부탁을 하는데 . 빠른 시일 안에 남겨야 할 편지들이 있어. 단, 절대 다른 사람에게 들켜선 안 돼. 매튜를 감시해 달란 소리야. 죽여 달란 것도 아니잖아? 두 사람에게 거절 못할 제안을 받은 샬롯은 매주 금요일에는 후작 행세를 하는 편지를, 일과가 끝난 뒤에는 매튜의 일거수일투족을 감시한 내용의 편지를 쓰게 된다. 그 편지가 만들어 낼 결과는 꿈에도 모른 채로 ! 여성 서사 중심의 미스터리 추리물 등장! 후작가에 존재하는 비밀, 그 비밀의 소용돌이 속으로 끌려들어 간 샬롯의 운명은?! 로고 및 표지 디자인 디자인 그룹 헌드레드",카카오페이지,84u4s/hyATuwW762/dbMCnKojWAP0oikmNqM37k
9,버림 받은 황비,완결,로판만화,"천년 역사를 자랑하는 카스티나 제국. 모니크 후작가의 외동딸, 아리스티아 라 모니크는 신탁에 의해 예비 황후로 성장한다. 그러나 그녀에게 찾아온 이변! 어느 날, 황궁 호수에 신비한 소녀가 나타나고 그녀가 황후로 추대된다. 결국 아리스티아는 39 황후 39 가 아닌 39 황비 39 로 궁에 들어가게 되는데 . 하지만 아리스티아가 간절히 원했던 건 황후 자리도, 권력도 아닌 오직 황제의 사랑뿐! 그러나 34 죄인 아리스티아 라 모니크는 황족 시해 미수 등의 모든 죄를 물어 참수형에 처한다! 34 34 나는 그저 당신을 사랑한 죄밖에 없는데 ! 34 차갑게 외면당하고 짓밟힌 채 형장의 이슬로 사라진 비운의 여인. 운명은 그녀에게 또 한 번의 삶을 부여한다! 34 너희 인간에게 주어진 피할 수 없는 결정, 그것이 운명이다. 34 열 살로 회귀한 아리스티아. 다시 찾은 아버지의 사랑, 그리고 새로이 시작되는 인연 . 34 어느 것이 꿈이고, 어느 것이 현실인가. 나의 운명은 다시 반복되는가. 34 항아,리 롤랑 수도원 사건일지 의 인아 작가와 회귀물의 여왕 정유나 작가가 선사하는 노블코믹의 완성판 버림 받은 황비 ! 많은 사랑 부탁드립니다! 로고 및 표지 디자인 디자인그룹 헌드레드 만화 버림 받은 황비 는 매주 화요일, 주1회 연재됩니다.",카카오페이지,cTk1Fq/hyVkLL7ZdG/mKQHk1ESsegakE2jc9krb0
