,title,day,genre,story,platform
0,도굴왕,"화, 금",소년만화,"현대에 출몰한 신의 무덤. 유물로 영웅의 능력을 쓰게 된 사람들, 부를 얻게 된 사람들. 그리고 그 유물을 털어가는 의문의 도굴꾼이 나타났다. 도굴왕. 34 아이씨, 미치겠네. 여기도 또 그자식이 다 털어 갔냐! 34 네 것도 내 것. 내 건 당연히 내 것. 다시 살아난 도굴꾼, 그가 세상 모든 무덤을 접수하기 시작한다! 웹툰 도굴왕 은 매주 화요일, 금요일 주 2회 연재됩니다.",카카오페이지
1,화홍,금,로맨스만화,"1부 단국의 고고하고 잘난 욱제 전하, 어리고 못난 소혜 아씨를 중전으로 맞이하였도다. 허나 욱제 전하, 잉첩인 희란 만 어여삐 여기고, 조강지처 소혜 아씨, 소박만 주는구나. 외롭고 힘든 궁궐 생활 홀로 버텨내던 중전마마, 이제 회임할 수 있는 진짜 여인이 되었으니! 어느 순간 욱제 전하의 눈길이 중전마마에게로 향하는 것인데 두 지존마마, 과연 귀한 사랑의 결실을 이룰 수 있을 것인가? 로맨스 장편 소설의 대가 이지환 작가의 원작 화홍 이 본격 궁중 로맨스 만화로 재탄생!!! 2부 욱제 전하와 소혜 마마 슬하 네 분의 왕자님과 두 분의 공주를 두셨으니, 이는 단국의 큰 복이라 장성하시어 세자빈을 맞이할 보령되신 단국의 세자저하, 예전부터 맘에 품었던 처자 연희 아씨 계셨으나 연희 아씨 성정 보통 아니라. 세자빈 되겠노라 저하와 약조해두곤 도망치기 일쑤로구나. 겨우겨우 세자빈 간택은 되었으나 간택된 날조차도 궐 담 넘겠다 아둥바둥하던 연희 아씨, 미리 아씨를 기다리고 있던 세자저하에게 보쌈당해버리니! 그 밤에 세자저하와 연희 아씨 과연 무슨 일이 있었으려나 ?! 더욱 화려하고 더욱 색 스러워진 화홍 2부! 각양각색 스타일의 구중궁궐 연애담을 지금 만나보세요",카카오페이지
2,SSS급 죽어야 사는 헌터,금,소년만화,"급 말단 헌터 김공자 . 랭킹 1위 염제 를 부러워하던 어느 날, 무려 급 스킬을 얻는다. 하지만 기쁨도 잠시, 어째 스킬 내용이 이상하다?! 상대의 스킬 중 1개를 복사한다,까지는 좋은데 34 뭐? 내가 죽어야만 발동된다고?! 34 죽어야 사는 헌터의 인간찬가 급 죽어야 사는 헌터",카카오페이지
3,악역의 엔딩은 죽음뿐,금,로판만화,"역하렘 공략 게임의 악역, 에카르트 공작가의 하나뿐인 공녀이자 입양아 페넬로페로 빙의했다. 그런데 하필 난이도는 극악! 뭘 해도 엔딩은 죽음뿐! 진짜 공녀 가 나타나기 전에 여주의 어장 중 한 명을 공략해서 살아남아야 한다. 사사건건 시비를 거는 오빠 1, 2. 모든 루트가 죽음으로 이어지는 미친 황태자. 여주바라기 마법사와 충직한 노예 기사까지! 일단 가망성 없는 놈들은 바로 버리자. 그동안 제 주제를 잘 몰랐어요. 앞으로는 쭉, 신경 쓰실 일 없이, 쥐죽은 듯 살겠습니다. 근데 왜 자꾸 선을 그을수록 호감도가 오르는 거야?! 악역 페넬로페의 미친 역하렘 공략 게임 생존기! 표지 및 타이틀 로고 디자인 디자인그룹 헌드레드",카카오페이지
4,경성빵집,금,드라마만화,"1948년, 어머니에게 떠밀려 원치 않는 결혼을 앞둔 18세 소녀, 34 소앙금 34 의 제빵상경기! 당신이랑은 절대 결혼 안 해요! 전 그냥 빵이 만들고 싶을 뿐이라고요. 아버지의 뒤를 이어 찐빵가게를 여는 염원을 이루기 위해 도망치듯 서울로 향하는 기차를 탄다. 서울에서의 첫날은 녹록지 않았으나, 빵을 사랑하는 남자, 34 태랑 34 과 기묘한 인연이 닿아 서울이 경성이던 시절에 지어진 어느 빵집에 다다르는데... 대한민국 최초의 양과자점, 경성빵집 에서 일어나는 이야기.",카카오페이지
5,프로야구생존기,"화, 금",드라마만화,"트라이아웃으로 신생구단 나이츠에 입단한 노영웅은 꿈에 그리던 프로야구 선수 생활을 시작한다. 하지만, 영웅을 기다리고 있었던 건 기회조차 제대로 받지 못하는 냉혹한 현실. 포지션을 옮기며 학생 시절보다 퇴보된 실력, 날이 서있는 동료 선수들, 자신 밖에 모르는 스타 감독... 넘어야할 산들이 첩첩이 길을 가로막고 있는 상황에서 과연 노영웅은 살아남아 프로야구 스타가 될 수 있을까? 야구 선수 노영웅의 프로야구 그리고 인생 서바이벌 일지!!",카카오페이지
6,두 번 사는 랭커,금,소년만화,"5년 전 사라진 쌍둥이 동생을 잊고 살던 연우. 어느날 그에게 동생의 유품인 회중시계가 돌아왔다. 그리고 그 속에 숨겨진 일기장. 39 형이 이 일기를 들을 때 즈음이라면 나는 이미 이 세상 사람이 아니겠지. 39 여러 차원과 우주가 교차하는 세계에 놓인 태양의 신 탑, 오벨리스크. 그리고 그곳에 오르다 배신당해 눈을 감아야 했던 동생. 모든 걸 알게 된 연우는 동생이 남겨 둔 일기와 함께 탑을 오르기 시작한다. 39 오늘부터 난. 차정우이다. 39",카카오페이지
7,비뢰도,금,액션무협만화,"홀로 길러주신 아버지를 돌림병으로 잃고 10세의 어린 나이에 혈혈단신이 된 비류연. 조각가였던 아버지에게 배운 기술로 부모님의 조각상을 만들어 두 분의 묘 앞에 세워두는데, 지나가던 노인이 그걸 보더니 자신을 사부로 삼으면 천하제일 무공을 가르쳐주겠다고 한다. 수상쩍지만 달리 갈 곳도 없고, 그럴듯해 보이는 무공에 혹해 비류연은 그를 따라가고 마는데 그날 이후 비류연을 길러준 것은 팔할이 바람이었다. 오늘 하루는 좀 편안했으면 좋겠다는 바람! 사부가 더 늙으면 울 때까지 구박해주겠다는 바람! 아니 다 필요 없고 여기서 탈출하고 싶다는 바람! 하늘이여 저한테 왜 이러세요 제발 살려주세요 하는 바람! 하늘이 비류연의 바람을 들어준 것일까. 무식한 가사노동과 피골상접 과로사를 야기할 것 같던 돈벌이로 점철된 삶 속에서 깨알같이 사부 몰래 힘을 비축하던 비류연은 드디어 어느 날 깨닫는다. 오늘이 바로 그날이다! 사부를 따돌릴 꿀떡 ? 을 던져놓고는 무한한 용기를 발휘해 묵금과 비뢰도까지 다 들고 튄 비류연. 혹자는 강호를 두고 시산혈해 위에 암투로 쌓아올린 백척간두의 세계라고 하나, 비류연에겐 드넓은 꿀 천지에 온실 속의 화초들이 노니는 안락한 신세계로만 보였는데 ! 비류연의 행복은 과연 언제까지 갈 것인가! 웹툰 비뢰도 는 매주 금요일, 주1회 연재됩니다.",카카오페이지
8,"왜 이러세요, 공작님!",금,로판만화,"나의 종달새, 내 영혼의 주군 그런 슬픈 표정 하지 마. 종달새가 우울해하면 내 세상에는 온통 비가 내리는 것 같아. 일명 사신 으로 불리는 냉혈한, 로안 페르카 공작 . 한 달 전 손수 내 목을 치려던 그가 나의 남편이 되었다?! 그것도 공처가, 애처가를 넘어 나 에르인 의 신봉자가 되어서!!! 진짜 사랑이면 좋겠지만 이 모든 것은 정체불명 마법의 힘 심지어 그 마법이 점점 풀리고 있어 !! 이중인격 ? 두 남편 ? 과의 명줄을 건 결혼생활, 왜 이러세요, 공작님!",카카오페이지
9,강철의 연금술사 컬러웹툰,"수, 금, 일",소년만화,"많은 독자 여러분께 사랑을 받았던 강철의 연금술사 가 39 컬러 웹툰 39 으로 한층 업그레이드 하여 새롭게 연재를 시작합니다! 원작에 충실하며, 39 화려한 이펙트 39 , 말풍선에 가려졌던 39 히든 컷 39 들을 추가하였습니다. 재미요소를 추가하여 새롭게 연성된 강철의 연금술사 컬러 웹툰 지금 만나보세요. 연금술로 엄마를 되살리려던 에드워드, 알폰스 형제의 모험이 시작된다! ., .",카카오페이지
10,전령새 왕녀님,금,로판만화,전쟁으로 패망 직전에 몰린 로이몬드의 여덟 번째 왕녀 제르. 적군에게 납치됐다 깨어나 보니 새가 됐다?! 다행인지 불행인지 그것도 총사령관 발하일 의 전령새가! 비록 새의 몸이지만 나라를 위해 고군분투하는 그녀. 하지만 진짜 새 취급도 정도껏 하라고!! 궤에에엑! 34,카카오페이지
11,남편이 미모를 숨김,금,로판만화,"대대로 끔찍한 괴물이 태어난다는 할스테드 성의 영주, 에르덴. 흉측하기로 유명한 영주의 외모는 가면으로 가려져 있다. 언니들 대신 할스테드 성의 영주에 시집가게 된 레티샤는 39 괴물과 결혼한 여인 39 으로 불리며 많은 이들의 동정을 사지만 사람들은 모르는 비밀이 있다. 34 부인께는 항상 감사해하고 있습니다. 흉측한 저에게 이렇게나 상냥하시다니 34 34 그야 전 에르덴의 부인이니까요. 34 34 어서 빨리 이혼해드려 하루 빨리 이 모든 것들로부터 벗어나도록 해드려야 하는데 죄송하지만 이혼장을 잃어버린 것 같습니다. 34 39 그렇겠지, 내가 태워버렸으니까. 39 34 그래서 시간이 더 걸릴 것 같습니다. 34 39 법률가들 사이에 소문 좀 험하게 흘려놔야겠군. 39 이렇게 잘생긴 남편과 이혼이라니. 안 돼, 안 돼, 절대 안 돼!!! 남편이 미모를 숨김 지금부터 시작합니다! 매주 금요일 00시에 연재됩니다.",카카오페이지
12,치트라,금,드라마만화,공무원 준비 생활만 수 년. 그런데 이렇게 억울하게 죽다니...! 그래서일까요? 죽었다 태어나니 아름다운 여백작이 되어 있었다. 심지어 미남신에게서 게임 능력까지 받게 되는데 뽑기...? 캐릭터 뽑기 능력을 가지게 된 그녀! 초 레어 미남 캐릭터를 뽑아가면서 세상을 널리 이롭게 하는 미남신의 사도가 되어버렸다. 레어 ! 초 슈퍼 울트라 스페셜 레어 !! 세계를 미남으로 채워 모든 여자들을 이롭게 하자!,카카오페이지
13,폭군의 비서관이 되었습니다,금,로판만화,"비서관으로 살다 퇴사 날 밤에 본 소설의 엑스트라, 로잘린 베리트 에 빙의했다. 이왕 자작가 딸로 빙의한 거 죽을 때까지 적당히 호의호식 좀 누리다가 가려고 했는데 눈치 없는 오빠가 폭군의 비서관이 된다고? 죽기 싫어서 한 폭군의 비서관, 근데 역시 경력직 신입은 일처리가 다르지. 5년 하고 나니 나 없어도 잘 돌아갈 것 같다. 그만두고 인생 한 번 즐겨볼까? 그만 두겠습니다. 죽고 싶어? 폐하, 가는 사람 안 잡고 오는 사람 안 막으면서 나한테는 왜 그래요?",카카오페이지
14,그 오빠들을 조심해!,금,로판만화,"7살에 어머니를 여의고 에른스트 공작가에 입양된 하리. 에른스트의 삼 형제에게 갖은 핍박을 받아왔지만 시집을 가게 되면서 드디어 피눈물 나던 생활을 끝내게 되었다. 그런데 웬걸? 자다 일어났더니 지옥 같던 어린 시절로 돌아온 게 아닌가! 꿈인가?! 흥, 당장 깰 꿈이 아니라면 이제는 나도 눈치 안보고 맘대로 살거야! 하리는 그렇게 삐뚤어지기로 결심했다.",카카오페이지
15,Retry: 다시 한번 최강 신선으로,"수, 금, 일",소년만화,"수선계에서 북현선존이라는 별호로 불리며, 신선이 되기 위한 수련을 하고 있던 진범은 마지막 단계에서 심마를 이기지 못하고 실패하여 죽음을 맞이한다. 그런데, 눈을 뜬 그가 있는 곳은 그가 수선계로 오기 전에 있었던 현대의 지구! 심지어 스무 살 때의 과거의 자신의 몸에서 정신을 차린 진범은 회귀한 것을 깨닫고 자신이 알고 있는 어두운 미래를 전부 바꾸겠다고 다짐한다. 거기다, 다시 한번 차근차근 최고의 선공으로 수련을 시작하여 이번에야말로 신선이 되겠다고 다짐하는데",카카오페이지
16,순백의 엘리사벳,금,로판만화,"여주인공이 되었다. 그것도 특별한 힘을 지닌 강하고 아름다운 여주인공 39 엘리사벳 릴리 39 . 하지만 꽃길까지 가는 길이 너무나 험난하다. 노예로 부려지다 세뇌당하고 학대당하고 . 그런데 원작에 나온 여주인공의 고난은 아직도 한참 남았다. 이러다 남자주인공을 만나기도 전에 죽겠어! 결국 그녀는 결심했다. 조연인 성격 나쁘고 위험한 마법사 39 아쉐로트 39 의 손에 구해져서 원작을 바꾸기로! 그런데, 34 좋아, 내가 키우지. 34 34 진심이야? 아쉐로트 네가 아이를 키운다는 게 뭔지는 알아? 34 34 식생활 전부를 책임지고, 교육시키고, 안전하게 보호하고, 결혼하겠다 하면 남편을 철저히 검증해 없애 버리고 . 34 아니야! 그거 아니야! 지금 엘리사벳 릴리는 나쁜 마법사를 길들이는 중 35 로맨스판타지 35 빙의 35 성격파탄남주 35 육아 35 마법사 35 능력녀",카카오페이지
17,폭군황제의 첫사랑,금,로판만화,"기억을 잃은 소녀 디아 . 놀스 남작가의 하녀로 괴로운 나날을 보내고 있던 중 잔혹한 성정으로 유명한 황제 카이르 의 황성으로 납치된다. 막상 디아 를 마주한 카이르 는 자신을 아느냐 라는 이상한 질문만을 던진다. 그 날 이후 디아 는 황성에서 황족과 같은 생활을 누리지만 보름달이 드리운 날, 무언가에 이끌려 성 밖으로 나가게 되고 그곳에서 누군가의 피로 범벅된 39 카이르 39 를 마주하게 되는데 .",카카오페이지
18,절찬 연애중,금,로맨스만화,"34세의 젊은 나이로 광고 회사 제작본부장 자리에 오른 남자가 있었다. 능력은 물론이고 연예인 뺨치는 외모까지 겸비한 완벽한 남자 김 윤 . 그에겐 단점이 하나 존재했는데 양 비서. 서유의 입술 끝이 바르르 떨렸다. 저 인간 또 시작이네. 그러나 그녀는 귀찮음과 짜증을 싹 지워낸 얼굴로 공손하게 대답했다. 남의 돈 먹기가 어디 쉬운 일이던가. 네, 본부장님. 지금부터 진실만을 말해 줘. 혹시나 했는데 역시나. 서유는 높낮이가 전혀 없는 목소리로 대답했다. 네, 알겠습니다. 이번 헤어스타일 어때? 좀 올드하지 않아? 멋지십니다. 오늘은 특별히 스리피스로 입어 봤는데 더워 보이진 않고? 전혀 그렇지 않습니다. 서유가 낮게 한숨을 흘렸다. 시간 없어 죽겠는데 언제까지 이 짓을 해야 하나. 그런 그의 마음을 아는지 모르는지 윤의 질문은 계속됐다. 얼굴은? 퍼펙트하십니다. 양 비서, 칭찬에 영혼이 없어. 자뻑 충만한 4차원 상사와 도도하고 무심한 비서의 불꽃 튀는 철벽 대결. 이 둘이 정말로 연애를 할 수 있을까?",카카오페이지
19,레이디 비스트,금,로판만화,"그란디아 왕궁에서 배척당해 불행하게 산 공주, 엘리사. 전장의 폭군이라 불리는 타국의 공작과 계약 결혼하다! 오직 살아남는 것이 목표였기에 남편에게 어떠한 기대도 없었으나 . 이건 뭐지. 다리 사이에서 피가 흐르는데. 어, 어떡해요. 아침에 일어나니까 당신 그곳이 ! 어찌 된 일인지 두 사람의 몸이 바뀌었다! 안심하세요. 절대로 당신의 마음을 바라지 않겠어요. . 왜 남편의 기분이 안 좋아 보이지? 천덕꾸러기로 자라 사랑에 소극적인 그란디아의 공주, 엘리사. 참는 것보다 죽이는 것이 익숙한 란델의 미친개, 진저. 너무나도 다른 두 사람은, 서로를 이해하고 사랑하게 될 수 있을까? 유수완 작가님의 인기 로맨스판타지 소설 레이디 비스트 를 웹툰으로 만나보세요!",카카오페이지
20,진홍의 카르마,금,로판만화,"암살자로 키워진 군인 카시야 델 로만. 인간으로서의 감정을 잃고 도구로서 살아온 삶의 마지막은 결국 버려지는 것이었다. 하지만 죽음의 안식마저 얻지 못하고 다시 눈을 떠보니 이세계의 전쟁터. 다시 돌아가라. 누구의 목소리인지 알 수 없는 음성이 울려 퍼졌다. 두려우면서도 그립고 애틋한 목소리였다. 방금까지 느껴지던 따스한 온기와 밝은 빛이 사라졌다. 그리고 벗어났다고 생각했던 육신의 느낌이 다시 서서히 온몸에 휘감겨 들어왔다. 그러자 퍼뜩 정신이 들었다. 또 다시 수라와 같은 삶을 살고 싶지 않았다. 그런데 이세계는 카시야가 살던 곳과는 조금 아니 많이 달랐다. 자신이 다칠까 걱정하는 사람들, 죽었을까 눈물짓는 사람들. 이게 뭐라고 걱정하고 우는 거지? 내가 그렇게 가치 있는 사람인가? 더 이상 도구가 아닌 사람으로서 살기 시작한 카시야. 황제의 자리를 놓고 싸우는 사람들 사이에서 카시야는 감정을 스스로 깨달으며, 공을 세우기 시작하는데...피의 업보는 그녀를 어디로 인도하는 것일까?",카카오페이지
21,백작가의 망나니가 되었다,금,드라마만화,"눈을 떠보니 소설 속이었다. 그것도 망나니로 유명한 백작가의 도련님 몸으로 . 그리고, 소설 속에서 나를 박살 냈던 막강한 주인공 최한이 곧 여기로 온다.",카카오페이지
