,title,day,genre,story,platform
0,내 남편이 너무 귀여워서 곤란하다,토,로판만화,"가문의 빚 대신 결혼하게 된 이엘리 블랑쳇. 게다가 남편 될 사람은 무시무시한 소문의 헤센바이츠 소공작이었다! 34 괴물에게는 치료 따윈 필요 없다. 34 그런데 막상 가 본 공작 성에서는, 어린 내 남편이 괴물이라며 학대를 당하고 있었다. 어린 남편이 불쌍하기도 하고, 동생 같기도 해서 조금 잘해 줬을 뿐인데...... 34 넌 내 기적이고 구원이야. 34 ......이런 반응은 전혀 예상하지 못했는데요?",카카오페이지
1,템빨,토,소년만화,"신영우 유저 네임 그리드 세계 최고의 가상 현실 게임 . 현실에서나, 게임 속에서나, 불운은 항상 그의 곁을 맴도는데.... 퀘스트 수행 중 우연히 발견한 게임 속 로또, 39 파그마의 기서 39 . 20억 명이 넘는 유저 중 유일한 최강의 레전드리 직업으로 전직. 34 어떻게 아직 살아있는 거지...?! 34 34 뭐, 특별한 건 없고... 34 34 템빨이죠. 34 지긋지긋한 불운과 악몽 같은 빚쟁이 인생에서 벗어난 최강 플레이어 34 그리드 34 . 고인물도 울고 갈 끝판왕이 찾아온다! 에 접속합니다. 웹툰 템빨 은 매주 토요일 연재됩니다.",카카오페이지
2,악당 대공님의 귀하디귀한 여동생,토,로판만화,"전쟁이 난무하는 소설 속, 피도 눈물도 없는 악당의 여동생이 되어 버렸다?! 황족 버금가는 귀족가의 막내딸로 다시 태어나서 꿀 같은 삶이라고 생각했는데, 이용만 당하는 악당의 여동생이라니! 아이들에게 후계자 싸움을 시키는 잔인히고 극악무도한 집안인 라그랑주 가에서 살아남기에는 너무나 연약한 아기의 몸.. 살기 위해 악당에게 빌붙기로 결심한다! 여기서 도망칠 때까지 내 보호자가 되어 줘야겠어. 날 키워라, 악당아!",카카오페이지
3,남주의 입양딸이 되었습니다,토,로판만화,"아이를 입양한다 어느 날 갑자기 떨어진 북부의 주인 보레오티의 폭탄 발언. 그리고 기적처럼 만난 검은색 을 지닌 아이. 그런데 근 육이 제일 좋아 불끈불끈 모여라 이두근 , 삼두근 흉근 복근 짜릿해 . 주군, 저희 애들은 저 정도까지는 아니었습니다만. 아니다. 우리 애가 얼마나 똑똑한데. 일곱 살인데 어려운 말도 많이 알고, 책도 빨리 읽고, 배짱도 있고 너네 우리 딸이 구운 쿠키 먹어봤나? 아무튼 재능이 넘쳐난단 말이다. 우리 딸은 천재야. 얼굴도 날 닮아서 요즘 부쩍 미모가 꽃을 피우고 있지. 벌써부터 두려울 정도다. 이 내가 말이지. 그래, 인정한다. 내 딸은 변태다. 이런 조합 35 앞으로도 없다 35 세상에서 제일 잘난 최강 아빠 35 동심이 부패한 ? 애늙은이 딸 35 대환장 35 티키타카 35",카카오페이지
4,접근 불가 레이디,토,로판만화,"34 힐리스. 부탁이야. 네가 가브리엘 대신 죽어줘. 34 언제나 고귀하던 내 오빠가 처음으로 나에게 머리 숙여 애원했다. 피 한 방울 통하지 않은 의붓 여동생을 위해 죽어달라고. 34 이번 한 번만 더 죽어주는 거 별로 어렵지 않잖아. 그렇지? 34 일곱 번째 배신당한 날, 나는 비로소 헛된 미련들로부터 완전히 자유로워졌다. 34 네가 끝까지 인간 말종에 쓰레기라 다행이야. 34 당신들의 사랑 따위, 이제 줘도 안 가져. 마침내 내가 먼저 그들을 버려 줄 차례였다. 35 로맨스판타지 35 피폐물 35 회귀물 웹툰 밍숭, 용두식 원작 킨, 연담 타이틀 디자인 공민경 발행처 콘텐츠랩블루, 연담",카카오페이지
5,화산전생,토,액션무협만화,"전란의 시대에서 운이 좋게 살아남아 화산파의 장로가 된 주서천. 평생 영광을 맛보지 못한 채 후회와 미련만 가득 안고 눈을 감는다. 그러나 죽음을 맞이하는 순간, 어찌 된 영문인지 운명은 그를 다시 과거로 돌려보내는데 .",카카오페이지
6,악녀 메이커,토,로판만화,"10년 전에 쓴 로맨스 판타지에 빙의했다. 그것도 여주인공을 저주하다가 남주인공에게 죽임을 당하는 악녀 아일라에게. 그럼 악녀가 아니면 되지 않을까? 이번 생은 돈 많은 백수로 평생 놀아야지! 그러나, 머지않아 하루가 되돌아가기 시작했다. 원작의 아일라처럼 행동하지 않았다는 이유 때문에. 제발 루프를 멈춰 주세요 . 방법은 간단해. 진짜 악녀가 되면 돼. 진짜 악녀? 부, 권력, 명예, 남자, 뭐든 전부 빼앗아. 원한다면 그녀의 왕관을 빼앗아 기꺼이 네 머리 위에 씌워 주지. 위험천만해 보이는 수수께끼의 남자는 악마처럼 달콤한 말들을 나긋한 음성으로 귓가에 흘려 넣었다. 그래서, 네 대답은? 과연, 아일라는 루프를 멈추고 진짜 악녀로 거듭날 수 있을까? 진정한 악녀 가 되기 위한 악당의 매혹적인 수업, 악녀 메이커.",카카오페이지
7,얼어붙은 플레이어의 귀환,토,소년만화,"세상이 바뀌고 5년. 최종보스가 나타났다. 지구 에어리어의 최후의 보스, 서리여왕이 출현합니다. 최후의 보스! 그녀만 처치하면 예전처럼 살 수 있다! 인류 최고의 플레이어, 어둑서니를 포함한 다섯 명의 플레이어가 마침내 서리여왕을 쓰러뜨리지만... 그들은 기나긴 잠에 빠지는 혹독한 대가를 치뤄야했다. 그로부터 25년 후. 34 2층이라니? 서리여왕을 죽이면 끝나는 거 아니었어? 34 얼어붙은 동료들을 구하기 위해, 그리고 세상을 구하기 위해. 전설이 된 어둑서니의 이름을 버리고 이제는 신입 플레이어 서준호로 돌아왔다.",카카오페이지
8,토끼와 흑표범의 공생관계,토,로판만화,"내 이름은 비비 래비안. 명망 높은 래비안 가 의 토끼 수인이야. 성인이 되면 모두들 인간이 되는 수인의 세계에서 무슨 이유에서인지 나만 열여덟 살이 되는 지금까지 인간화를 하지 못하고 있어. 그런 내가 부끄러우셨는지 부모님께선 날 흑표범 영토에 버리셨지. 그리고 난, 마치 운명처럼 붉은 눈을 빛내며 날 바라보는 흑표범을 만나게 되었는데 34 잡아먹히는 게 두려워? 그럼 더 울어 봐. 34 34 다리가 짧아서 그렇잖아, 뚱보 토끼. 34 34 넌 내가 주워 왔잖아. 그러니까 내 소유인 거지. 34 얘 얘는 정상이 아니었던 것이야 !!! 흑표범도 모자라 사자에, 늑대들까지 하필 맹수들만 득시글한 이곳에서 아직 새끼 토끼인 나, 잘 살아갈 수 있는 걸까? 가녀린 ? 새끼 토끼 비비의 대모험 맹수 소굴에서 살아남기 프로젝트 를 지금 시작합니다!!",카카오페이지
9,사실은 내가 진짜였다,토,로판만화,"아빠에게 사랑받기 위해 철저하게 자신을 억누르며 살아온 키이라. 어느 날 자신이 유일한 친딸이라 주장하는 코제트가 나타나고, 키이라는 가짜라는 죄목으로 처형당하고 만다. 생의 마지막 순간, 코제트는 키이라의 귀에 사실은 네가 진짜였단다 34 라는 말을 속삭이는데 키이라는 그 말을 기억한 채 과거로 회귀한다! 복수도 중요하지만, 가짜 건 진짜 건 무슨 상관이야? 다시 찾은 생, 이젠 나를 위해 자유롭게 살겠어! 친구 사귀기는 처음인 귀염뽀짝 여주의 성장 로맨스.",카카오페이지
