,title,day,genre,story,platform
0,나 혼자만 레벨업,목,소년만화,"10여 년 전, 다른 차원과 이쪽 세계를 이어 주는 통로 게이트 가 열리고 평범한 이들 중 각성한 자들이 생겨났다. 게이트 안의 던전에서 마물을 사냥하는 각성자. 그들을 일컬어 헌터 라 부른다. 그러나 모든 헌터가 강한 것은 아니다. 내 이름은 성진우. 급 헌터다. 저급 던전에서조차 죽을 고비를 넘겨야 하는 인류 최약병기 . 무엇 하나 내세울 것 없는 형편에 저급 던전으로 근근이 생계를 이어가던 그는, 급 던전 속에 숨겨진 최악의 난이도의 이중 던전을 만난다. 그리고 결국 죽음을 맞이하려던 순간, 그는 기이한 능력을 얻게 된다. 오직 그에게만 보이는 게임 퀘스트 창! 오직 그만이 알게 된 레벨 업의 비밀! 퀘스트를 따라 수련하고 몬스터를 사냥하면 레벨이 오른다. 오직 그 혼자만! 최약체 헌터에서 최강 헌터로 각성하다! 추공 작가의 인기 판무 소설 나 혼자만 레벨업 이 웹툰으로 드디어 등장! 표지 및 로고 디자인 디자인그룹 헌드레드 웹툰 나 혼자만 레벨업 은 매주 목요일, 주1회 연재됩니다.",카카오페이지
1,궁귀검신,"화, 목",액션무협만화,"조돈형 작가의 궁귀검신, 만화로 다시 태어나다! 34 활이라는 것은 눈에 보이는 거리를 뛰어넘어 그 뒤에 도사리고 있는 생명까지 지배하는 병기다. 눈에 보이지도 않는 무기가 생명을 노린다고 가정을 해 보거라. 이보다 두려운 것이 또 무엇이 있겠느냐? 34 악덕 조부와의 고난에 찬 수련행. 정혼녀를 찾아 떠난 즐거운 중원행. 어지러운 무림을 바로잡는 영웅행. 이기어검과 이기어도를 능가하는 이기어시의 신선한 등장! 내일을 향해 쏘아 볼까나?!",카카오페이지
2,아내가 돌아왔다,목,로맨스만화,"이혼해요, 우리. 사랑 없는 정략결혼. 결혼은 비즈니스일 뿐이라 생각했던 남자, 최무원. 그런 그에게 이혼을 말한 여자, 이유래. 3년이 지난, 어느 날 예상치 못한 장소에서 낯선 관계로 재회하는데 . 우리 연애할래요? 아내가 돌아왔다. 그런데 이 여자, 그가 알던 예전의 그 여자 맞아? 멈추었던 심장이 뛰기 시작한다. 하필이면 돌아온 아내에게, 아내가 돌아왔다 .",카카오페이지
3,악당의 아빠를 꼬셔라,목,로판만화,"버스사고 후 눈을 뜨니, 즐겨읽던 웹소설 세계에서 눈을 떴다. 그것도 원작 주인공들이 태어나기 전, 부모님 세대에! 앞으로 연달아 닥칠 불행을 막기 위해, 여주인공을 임신한 언니의 납치부터 막으려고 했는데 대신 납치당해버렸다?! 납치 당한 것도 서러운데, 몸은 마력에 버티질 못해 개복치 신세가 됐다. 그런데... 날 납치한 황제의 곁에만 있으면 몸이 멀쩡해지네! 그래! 악녀와 결혼해, 아들에게서 죽임을 당할 저 남자도 살리고 마력에 취약한 나도 살 방법은...우리 둘이 결혼하는 것 뿐! 34 아버님 결혼해주세요 34 34 공주. 난 결혼도 안했고, 아이도 없는데 아버님이라니... 34 스윗한 철벽남 황제를 향한 39 청혼 프로젝트 39 악당의 아빠를 꼬셔라",카카오페이지
4,"아빠, 나 이 결혼 안 할래요!",목,로판만화,"모두에게 미움받는 악녀 39 쥬벨리안. 사랑했던 애인도 단 하나뿐인 가족, 아버지에게도 버림받고 쓸쓸히 죽어버린 비참한 악역 쥬벨리안이 바로 나라고? 인생 2회차 이렇게 된 이상 사랑받는 건 텄다! 아버지의 돈으로 꿀이나 빨겠어! 화려한 공녀라이프를 선언했건만, 아니, 아버지! 싸이코패스 황태자가 제 결혼 상대라고요? 방법은 단 하나, 계약 연애뿐! 그리고 상대로는 아버지의 제자가 좋겠다고 결론 내린다. 바로 그 남자가 황태자인 줄 모른 채 . 아빠, 나 이 결혼 안 할래요! 매주 목요일 연재",카카오페이지
5,괴,"화, 목",액션무협만화,삼백 년 전의 세상으로 다시 돌아온 절대자. 허나 그가 돌아온 세상은 바로..! 괴이 하고 또 괴이한 이야기. 괴 하고 괴하니 층층괴이 하도다. 환상 무협의 새로운 지평을 여는 대작이 지금부터 시작됩니다!,카카오페이지
6,괴물 공작가의 계약 공녀,목,로판만화,"매주 목요일 연재 철저히 언니만을 위해 이용당하는 삶을 살던, 스페라도 가문의 차녀 레슬리. 사랑받기 위해 모든 걸 참아 왔지만, 결국 언니의 힘을 증폭시키기 위한 제물로 바쳐지게 된다. 불구덩이 속에서 알 수 없는 존재들의 도움으로 목숨을 부지한 레슬리는 어둠술사로서 각성하게 되고, 가문의 비밀을 알게 된 그녀는 양녀로 삼을 어린아이를 찾는다는 괴물 공작가의 문을 두드리기로 결심한다. 그렇게 괴물 공작가의 셀바토르 공작을 마주하게 되는데... 34 저를 입양해주세요! 34 34 제국, 아니 대륙 최고의 어둠술사를 얻으실 수 있을 거예요! 34 여리지만 당차게 자신의 삶을 개척하기 시작하는 레슬리. 과연 그녀의 운명은?! 웹툰 민작 원작 리아란 기획 로크미디어",카카오페이지
7,황제의 외동딸,목,로판만화,"아리아드나 레르그 일레스트리 프레 아그리젠트. 겁나 긴 이름으로 시작한 새로운 내 인생 그러나 대체 이건 무엇이란 말인가. 나름 귀한 신분으로 태어났음에도 태어날 때부터 온갖 동정 어린 시선은 다 받고 태어났으니 그 이유는 단 하나 바로 내 아버지라는 작자 때문이었다. 아버지가 미친놈이시라면서요? 반역으로 피로 얼룩진 옥좌에 올라선 반왕, 대륙을 공포로 몰아넣은 희대의 폭군. 나 과연 살아남을 수는 있을까? 이 황제는 아주 위험한 생물입니다. 하지만 지금은 내 아빠죠. 아, 나! 소설에서 풀지 못했던 못 다한 이야기가 지금 여기에서 펼쳐집니다! 로고 및 표지 디자인 디자인그룹 헌드레드 웹툰 황제의 외동딸 은 매주 목요일, 주 1회 연재됩니다.",카카오페이지
8,흡혈고딩 피만두 시즌2~시즌3,"화, 목, 토",드라마만화,"100년 동안 다니던 정든 생활고를 떠나 마야고로 전학간 피만두! 좀 더 효율적으로 피주머니들 ? 에게 접근하기 위해 피부색과 머리색을 바꾸고 나타났다! 만두의 정체를 모르는 마야고 일진들은 괜히 시비를 걸었다 번번히 당하기만 하고, 급기야 일진 보스가 피만두를 잡겠다며 계획을 세우지만 결과는 과연....",카카오페이지
9,악녀가 사랑할 때,목,로판만화,시한부 인생을 사는 악녀에게 빙의했다. 괜찮다. 병은 고칠 수 있으니까! 목표는 하고 싶은 걸 마음껏 하는 인생! 나는 먼저 좋아하던 소설 속 등장인물들 덕질을 하기로 했다. 그런데 나를 악녀라고 하던 주변 사람들 반응이 이상하다. 당신은 곧 죽는데도 어떻게 그렇게 웃으실 수 있는 겁니까. 그야 네가 잘생겨서..?,카카오페이지
