,title,day,genre,story,platform
0,닥터 최태수,수,드라마만화,"대학병원의 가장 말단 의사, 걸어다니는 깡통 인턴. 하루하루, 인턴으로서의 고된 나날을 보내던 최태수는 우연히 세계최정상의 흉부외과의사인 39 리처드 카프레네 39 의 임종을 지키게 된다. 이때, 놀랍게도 카프레네의 모든 의학지식이 고스란히 최태수에게 전이되는데 !! 따뜻한 심장을 지닌 천재흉부외과의, 최태수가 일궈내는 기적의 메디컬 드라마!",카카오페이지
1,당신의 이해를 돕기 위하여,수,로판만화,"왕녀인 바이올렛은 왕실의 막대한 빚을 갚아준 윈터 블루밍과 결혼한다. 결혼식에서 처음 본 윈터에게 반한 바이올렛. 운이 좋다고 생각한 것도 잠시, 오빠인 에쉬가 왕실 해체를 선언하자 사기꾼이라는 오명을 뒤집어쓴다. 작위도 얻지 못하고 전 재산만 날린 윈터는 결혼 첫날밤에도 집으로 돌아오지 않는다. 지옥 같은 결혼생활을 한 지도 3년. 저 바쁜 남자가 내 장례식엔 와줄까? 돈을 버는 데만 열중하고, 자신에겐 냉담하기만 한 윈터로 인해 바이올렛은 점차 시들어 간다. 모든 것을 끝내리라 마음먹은 그때, 윈터와 몸이 뒤바뀌는데 . 내가 정말 미쳐버렸나 봐, 이건 망상일까?",카카오페이지
2,이미테이션,수,로맨스만화,"34 나는 39 진짜 39 를 꿈꿉니다. 34 약육강식과도 같은 연예계. 그곳에서 탑 솔로 가수 라리마와 닮은 이미지로 반짝 인기를 끌었던 마하는 천우신조로 인기 방송 프로그램에 출연하는 기회를 얻게 된다. 어떻게든 대중들에게 눈도장을 찍기 위해 최선을 다하지만 결과는 탑 아이돌 그룹 샥스의 멤버를 다치게 만드는 걸로 끝이 나고 마는데 그저 열심히 했던 것뿐인데, 왜 이렇게 돼버린 걸까? 39 진짜 39 를 꿈꾸는 별들의 이야기. 이미테이션 많은 관심 부탁드립니다.",카카오페이지
3,장르를 바꿔보도록 하겠습니다,수,로판만화,"좋아했던 장르 소설 속에 빙의했다. 하필이면 어린 주인공을 학대하는 악역 이모로. 복수극의 주인공으로 자라날 조카가 안쓰러워 원작대로, 삼촌이 나타나 조카를 데려갈 때까지만이라도 살뜰히 보살피려 노력했다. 그랬더니... 34 어, 엄마! 34 졸지에 애엄마가 되어버렸다?! 34 사정이 어떻게 되신 건지는 모르겠습니다만, 모자지간을 어떻게 찢어두겠습니까? 숙녀분도 함께 빈터발트로 가시지요. 34 야, 김루카! 이 오해는 어떻게 풀어줄 건데!",카카오페이지
4,인소의 법칙,수,로맨스만화,"인터넷 소설 읽기가 취미였던 평범한 학생 함단이. 어느 날 자고 일어나니 옆집에는 아주 예쁜 여학생 반여령이, 학교에는 그 이름도 무시무시한 사대천왕이 나타났다! 하루아침에 소설처럼 뒤바뀐 세계, 그리고 함단이의 역할은 다름 아닌 여주인공 소꿉친구 중 하나. 인터넷 소설의 법칙! 여주 친구는 각종 위험에 휩싸인다! 단이의 평화로운 일상을 되찾을 유일한 방법. 그래! 반여령과 사대천왕하고 엮이지 않는 거야! 그러나 다짐과는 다르게 그녀의 일상은 강렬한 개성의 사대천왕과 여주인공으로 인해 갈수록 꼬여 가는데 ?! 과연 그 결말은? 인기 절정의 웹소설 인소의 법칙 , 오!주예수여 아현 작가의 웹툰으로 재탄생! 표지 및 타이틀 로고 디자인 디자인그룹 헌드레드",카카오페이지
5,악녀의 남주님,수,로판만화,"유니페 마그놀리아. 여주인공 라엘 카니아의 친구이자 악녀. 소설 속 유니페는 남주 이시드를 사랑하여 그의 사랑을 받는 라엘을 질투해 괴롭히다가 남조 카시안에게 죽임을 당하는 운명이다 그런데, 34 내가 왜 유니페가 된 거야!! 34 하지만 다시 생각해보자. 유니페가 죽임을 당하는 건 1년 후니까 일단 이시드를 만나다가 이시드와 라엘이 만나면 빠져나오면 되니까, 일단 만나보는 거야! 그런데, 해도해도 너무 다정하고 따듯한 이 남자와 과연 헤어질 수 있을까? 악녀의 남주님 지금부터 시작합니다! 매주 수요일 00시에 연재됩니다.",카카오페이지
6,"계모인데, 딸이 너무 귀여워",수,로판만화,"다이어트도, 업무도 열심히 하면서 평범하게 살아가던 나 이백합 . 과로사로 죽은 줄 알았는데 자신보다 예쁜 의붓딸을 질투한 나머지 딸을 독살하고, 결국 남편에게 처형되는 동화에 빙의했다?! 이대로 처형당할 수 없으니 귀엽고 사랑스러운 딸, 블랑슈와의 관계를 개선해 사망 플래그를 없애야 한다! 뭘 해도 귀여운 블랑슈에게 사랑을 퍼붓는 일은 즐거운데 우습군요. 부인이 언제부터 그렇게 블랑슈를 아꼈다고? 망할 남편 놈이 날 자꾸 방해한다! 저도 블랑슈의 부모입니다. 절 의심한 걸 사과하세요. 34 사과하지 않으면? 오늘 밤 전하의 침소로 찾아가겠어요. . 특별히 아주 섹시한 속옷도 준비했답니다. 나는 싱긋 웃으며 치명타를 날렸다. 지금 당장 보여드릴까요? 순식간에 일그러지는 남편의 얼굴이 아주 볼만했으니, 나는 계획한 대로 귀여운 딸 블랑슈를 덕질하며 행복한 두 번째 삶을 살 수 있을까?! 35 딸덕질 35 가족물 35 로맨스코미디",카카오페이지
7,나 혼자 만렙 귀환자,"수, 일",소년만화,"전 세계 1억 2천만 명의 인구가 사라졌다. 최종 퀘스트 완료 보상 39 귀환 39 이 시작됩니다 22년 만에 최악의 생존게임을 클리어한 윤상혁. 일일군단, 플레이어 중 최강자라 불리던 그가 돌아왔다. 그 누구도 받지 못한 보상을 통해 모든 것을 가진 채로. 가면의 군주, 귀환 나 혼자 만렙, 나 혼자 풀템, 나 혼자 사이다!",카카오페이지
8,이계 검왕 생존기,수,소년만화,"귀하는 적합자로 선택받았습니다 귀하의 재능으로 셀하 라트나에서 생존할 확률은 5 미만입니다 자살하시겠습니까? 까. 5 미만의 생존 확률. 22년의 시간. 셀 수도 없는 마견과의 사투. 이 지옥에서, 나는 홀로 살아남았다. 5라는 레벨 뒤에 감춰진, 무지막지한 히든 스탯들과 함께! 대검 하나로 이계를 썰어버리는, 사상 최강의 레벨5 검사 류한빈의 극한 사이다 생존기!",카카오페이지
9,신과 함께 레벨업,수,소년만화,"이계의 신, 아우터 갓 . 하늘을 닫는 절망과 늪에 빠진 좌절, 탄생하지 못한 자, 어리석은 혼돈. 평범한 사람들은 그저 바라보는 것만으로 목숨을 잃어 버릴 그 존재들이 세상을 휘젓는 지금 수 년간의 싸움 끝에, 최후의 생존자들이 낸 결론. 34 이너 는 아우터 를 이길 수 없다. 34 그 순간, 시간을 다루는 신격을 지닌 존재 크로노스는 자신을 희생시켜 시계태엽을 되돌린다. 34 이길 수 없겠지. 지금은 말이야. 34 34 옛 세계선으로 돌아가라. 그리고 다시 시작해. 34 모든 신들에게 지목을 받아 과거로 돌아간 최후의 1인. 가장 뒤늦게 탑을 올라, 가장 마지막까지 신들과 함께 싸운 인간, 김유원. 34 이너 는 아우터 를 이길 수 없다. 그렇다면 34 34 이기는 건 나야. 34 그는 마지막 순간을 함께하던 동료들을 다시 모아, 아우터와의 싸움을 승리로 끝낼 수 있을까? 웹툰 신과 함께 레벨업 은 매주 수요일, 주 1회 연재됩니다.",카카오페이지
