title,writer,illustrator,day,genre,story,platform,n_count
트리거,고경빈,고경빈,월,"스토리, 판타지","지구에 소행성이 떨어진 후, 지구는 인간을 먹이로 하는 괴생명체 아니스 에 의해 절멸 위기에 처한다. 청소년 모두가 입대해서 아니스에 맞서야 하는 시대. 1년 전 먼저 입대한 소꿉친구 니카와 어렵게 재회한 에반은 니카가 자신을 전혀 기억하지 못하는데다, 더이상 평범한 인간이 아니라는것을 알게 된다. 충격에 빠진 에반에게 정부에서 준 임무는 니카를 죽이라는 것이다. 그것도 매일, 인류를 위해..",네이버 웹툰,2
트리거,불만있냥,불만있냥,화,액션무협만화,"불량하기로 유명한 대명 고등학교에 입학한 평범한 고등학생 남지일. 입학 첫날부터 일진들의 타깃이 되어 전교생이 다 아는 빵셔틀이 되고 만다. 고질적인 심장병을 앓고 있던 약한 몸으로 일진들에게 폭행과 괴롭힘을 당하며 괴로운 나날을 반복하던 중, 뜻밖의 변화를 겪고 인생의 전환점을 맞이하게 되는데...",카카오페이지,2
성경의 역사,최경민,영모,금,"스토리, 드라마","모두에게 사랑 받기에 모두가 증오하는 그녀, 성경 . 원치않는 애정과 증오속에 성경의 대학 생활은 꼬여만 간다. 사랑해, 성경아.",네이버 웹툰,1
대작,범우,범우,완결,"스토리, 스릴러",천재 신인작가와 그를 쫓는 이들의 숨막히는 이야기,네이버 웹툰,2
대작,이종규,이종규,완결,정보없음,최고의 막걸리를 두고 펼쳐지는 신명나는 술 대결!,카카오웹툰,2
소곤소곤,옛사람,옛사람,완결,"옴니버스, 스릴러",당신의 귓가에 속삭일 기묘한 이야기,네이버 웹툰,2
소곤소곤,후지타니 요코,후지타니 요코,완결,드라마만화,"이 세상엔 34 소곤소곤 34 이 가득해 . 막연하고 무기력하게 고교생활을 보내던 코우지는 어느 날 나무그늘 아래서 강아지와 고양이에게 둘러싸여 잠든 소년 다이치를 발견한다. 코우지는 다이치가 물건 과 동물 의 목소리를 듣는 불가사의한 힘을 가졌다는 사실을 금세 알아차린다. 그 이유는 사실 코우지도, 지금은 잃어버렸지만 과거에 똑같은 힘을 가지고 있었기 때문인데 . 후지타니 요코가 그리는 순수하고도 신기한 이야기! 2012 2012 , . .",카카오페이지,2
악연,황준호,황준호,완결,"스토리, 스릴러",싸이코패스.연쇄살인범.그리고 마주치는 사람들.,네이버 웹툰,2
악연,최희선,최희선,완결,정보없음,"사채빚의 남자, 시체를 유기한 남자, 그리고 상처받은 여자. 그들은 악연이었다.",카카오웹툰,2
환골탈태,마고(mago),마고(mago),월,드라마만화,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발.... 이 해괴하고 귀여운 생물체는 대체 무엇?! 해골 스켈레톤 은 독립하면서 아기 고양이를 기르기로 한다. 드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이! 그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나? 인간계 대행 서비스 센터는 연결이 되지 않고, 졸지에 돌연변이 아기 고양이를 떠맡은 해골! 설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데.... 아기 고양이... 키울 수 있을까?! 마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 육아 대작전이 시작합니다!",카카오페이지,1
