word,frequency
의,9029
을,8088
하다,6734
이,5475
에,4086
를,3833
되다,3427
은,3176
가,2875
는,2432
들,2428
그,2344
있다,2099
한,1931
로,1814
으로,1779
에서,1691
과,1631
수,1268
것,1246
에게,1239
와,1184
인,1036
도,1033
이다,1013
없다,973
자신,895
시작,829
사람,785
않다,751
사랑,730
날,714
그녀,702
보다,693
위해,690
이야기,679
나,622
남자,614
고,612
내,608
되어다,575
년,572
받다,565
하고,537
그리고,534
어느,530
다,513
못,512
게,508
버리다,499
하지만,499
적,496
개정판,485
같다,480
세계,460
그렇다,455
속,440
아니다,438
세상,435
알,430
작가,424
과연,421
두,404
만나다,403
가다,403
만,390
다시,378
인간,377
까지,377
일,373
곳,371
살,347
자,347
전,346
오다,341
눈,338
주인공,334
함께,333
나타나다,332
평범하다,327
말,318
모든,315
마음,313
친구,310
죽다,300
로맨스,298
앞,295
싶다,286
몸,283
삶,282
작품,273
위,270
세,266
때,262
인생,261
부터,260
모르다,255
살다,254
중,253
들다,249
게임,248
결혼,248
후,245
찾다,245
인가,243
새롭다,241
소년,240
소녀,239
하나,237
다른,237
알다,236
여자,236
운명,236
아,234
가지다,231
당하다,229
집,228
비밀,224
님,221
연애,220
만화,220
안,219
복수,218
지키다,218
네,217
우리,217
그런데,216
신,215
아이,213
생각,212
소설,212
능력,211
구,210
사건,210
웹툰,207
돌아오다,207
더,207
지,205
만들다,205
라,204
꿈,203
당신,202
에는,201
죽음,200
바로,200
말다,200
어리다,197
서,196
일상,195
기억,195
하,195
어떻다,195
생활,194
온,193
지금,193
학교,191
뒤,190
판타지,190
누구,190
남,189
줄,187
힘,184
황제,181
건,180
처럼,180
시간,179
채,179
가족,177
이라는,177
살아가다,176
정체,176
왕,176
너,174
최고,174
과거,174
주다,173
찾아오다,172
라는,172
떠나다,171
그러나,170
단,170
좋다,170
태어나다,170
늘다,168
제,168
살아나다,167
기,166
사이,165
존재,164
사실,164
둘,163
뿐,161
남다,161
잃다,160
여,158
끝,158
모두,157
해주다,157
얻다,157
내다,155
보내다,155
거,154
아버지,153
돌아가다,153
왜,152
대,152
가장,152
이름,151
갑자기,151
순간,151
서로,150
최강,147
이제,147
뜨다,147
향,146
펼쳐지다,145
빠지다,144
저,143
인하다,143
모습,142
손,140
니,140
우연히,138
인기,138
번,137
성,136
가지,134
이르다,134
좋아하다,134
강하다,132
많다,131
보이다,130
이자,130
미래,129
현실,129
자다,129
엔,128
먹다,128
시,127
딸,127
난,127
라고,127
연,126
빙의,125
나가다,125
전쟁,124
없이,123
원,123
죽이다,123
돈,122
밤,122
생기다,122
위기,122
