,title,day,genre,story,platform,Thumbnail
0,밤의 향,완결,,당신의 살내음과 여름밤의 향기를 난 평생 잊지 않을 거에요,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1532/c2/2x/6b2e9f80-e33a-4698-af42-535b0dd2e9a5
1,토이 콤플렉스,완결,,"혹시 오늘 밤, 나와 함께 보내줄 수 있나요?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1683/c2/2x/168aea65-3e35-4fa3-816a-9d8c5a7aad16
2,경이로운 소문,완결,,영원불멸의 삶을 위해 지구로 내려온 사후세계 악한 영혼들. 그들을 잡는 카운터들의 이야기.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1525/c2/2x/04da3bf8-1020-4f11-a81d-0c0441d751a5
3,괜찮은 관계,완결,,"남부럽지 않은 연애 중인 고지원, 그녀에겐 부끄러운 고민이 있는데...",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1593/c2/2x/f4ea8121-52d2-4333-b662-3f904ef63729
4,4학년,완결,,날 바라보는 아이의 눈빛이 이상하게 느껴진다.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1826/c2/2x/b4301984-726b-4efa-9f27-370084aa7042
5,창백한 말,완결,,"1835년 프랑스, 마녀로 불리던 소녀의 핏빛 운명",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/783/c2/2x/963f8bdc-d961-4f9e-b72a-d034236d006b
6,N번째 연애,완결,,몇번의 연애를 거쳐야 인연이 나타날까? 청춘 끝자락에서 진정한 사랑을 찾아가는 이야기,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1479/c2/2x/afc0967c-9c5b-4e3d-a1ed-5d617b4a6669
7,브레이커2,완결,,"대한민국 최고의 도시무협 액션, 그 두 번째 신화가 펼쳐진다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/596/c2/2x/80ee09a9-0c08-459d-9969-1c26fd7fb8d5
8,굿바이 사돈!,완결,,사돈 사이가 된 원수지간 남녀. 때마침 모든 걸 되돌릴 수 있는 기회가 눈앞에 찾아오는데!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1546/c2/2x/24bf2543-8f19-4e95-9ea1-295d32a58f3d
9,여혜,완결,,가려진 진실과 휘말린 애증 속 엇갈리기만 하는 이들의 가슴 시린 시대극 로맨스.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1958/c2/2x/16425d1f-5e4d-4dac-8053-fe54ed885d92
10,이태원 클라쓰,완결,,"각자의 가치관이 어우러지는 이 곳, 이태원 . 이 거리를 살아가는 그들의 이야기",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1338/c2/2x/e4c916ee-4842-44e8-87ef-f2ab4c794bac
11,레드스톰,완결,,"사막의 찐득찐득한 모래바람과, 그곳을 질주하는 전사들의 이야기",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/823/c2/2x/7755761d-6fc0-4bb3-8668-0fad3319b574
12,다이어터,완결,,뚱뚱한 청춘은 가라! 캐러멜 작가가 선보이는 다이어트 백서!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/676/c2/2x/66aec840-8bb4-43ff-816b-50133cc96b23
13,우리 집에 왜 왔니,완결,,바쁜 일상을 살아가는 회사원 서재희 앞에 나타난 낯설기만 한 그 녀석. 그 녀석에 대한 선입견을 벗겨라!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1308/c2/2x/676c96c1-58a9-470f-a3ab-c5f148e80cd5
14,버닝 이펙트,완결,,"죄를 지은 자, 죄질의 경중을 막론하고 사형에 처한다. 인구 수 폭증과 범죄율 증가로, 정부는 특단의 법을 내놓는다. 범죄자는 이유 불문하고 처단 . 길거리에 침만 뱉어도 죽을지 모르는 도시에서 시민들은 불안함에 시달리고 이를 두고 볼 수 없었던 자들이 혁명을 일으킨다. 혁명단 제볼트 의 버너 . 정부의 검, 관리자 그레이트 . 이 둘을 중심으로 점점 번져가는 정부와 혁명단의 싸움. 법을 집행하는 자와 세상을 뒤엎으려는 자들의 치열한 전쟁이 시작된다. 과연 버너 일행은 강력한 관리자들을 꺾고 즉결 처형 제도를 무너트릴 수 있을 것인가?!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1354/c2/2x/22aa6cee-4b02-481d-ac7a-f0810e485cbe
15,아쿠아맨,완결,,누군가 내 연애를 자꾸 방해한다! 그게 내 친구라면? 신나루의 모태솔로 해방기!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1309/c2/2x/c74bb1ed-4d24-4de5-8e24-913ff735c6c9
16,초상화,완결,,"18세기 유럽, 헬리는 스승을 대신하여 백작가문에서 딸의 초상화를 그리게 되는데..",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1456/c2/2x/10da12a2-3f3c-4442-96fb-8294f0c1a7c4
17,홍도,완결,,동양 판타지. 온라인 만화공모대전 우수상 수상작,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1121/c2/2x/748b9937-931e-459a-975b-b903762f275f
18,TEN,완결,,지옥을 벗어나고 싶다면 10명 안에 들어야 한다.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1320/c2/2x/38763fcd-59ef-4d17-9415-026d7df5bbbd
19,경성야상곡,완결,,"1928년 일제강점기 경성, 두 소녀의 뒤바뀐 운명",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1769/c2/2x/0d161434-8905-42f2-a9ff-3e42eca54486
20,까락,완결,,주먹 자랑을 하지 말아야 하는 벌교. 그곳에 서울 조폭 이 내려와 물을 흐린다!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1971/c2/2x/a5902659-a900-4b38-bcc9-17ee67dc977f
21,아띠아띠,완결,,너는 나를 얼만큼 사랑하니?,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1176/c2/2x/9bc811d9-bbf1-4577-b2ab-d45c3bbb666c
22,실,완결,,"다시 돌아가는 거야, 당신에게로!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1225/c2/2x/87434ebb-0c23-48ac-a8ff-eb45984e862f
23,설공찬전,완결,,호러 소설 작가 설공찬이 우연히 마주친 아랫집 남자와 겪게 되는 미스터리한 로맨스,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1893/c2/2x/fafbfc5b-7dc3-4c5a-80d5-825e7ab887a8
24,발자국이 녹기 전에,완결,,"가상의 조선, 세상에 의한 아픔을 가진 사람들의 사랑 이야기",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1314/c2/2x/2f83e510-5ced-4a3d-b973-862975f104f1
