,title,author,day,genre,story,platform,Thumbnail
0,튜토리얼이 너무 어렵다,이마에 다이키,월,학원/판타지,우연히 튜토리얼의 세계로 들어가게 된 전직 프로게이머 이호재. 튜토리얼에서 살아남기 위해서 처절한 노력을 하는 주인공은 주어진 미션을 클리어 해나가면서 튜토리얼의 비밀을 알게되는데... 튜토리얼을 넘어서 적극적으로 자신의 삶과 세계를 변화시켜 나가는 성장물.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2467/c2/2x/2c8bb056-6c10-4c42-8776-b78d2c357e53
1,녹음의 관,삵,월,로맨스 판타지,"남자주인공에게 트라우마를 남긴 계모의 딸에 빙의했다. 이 모든 것은 내가 열 다섯 살 때 쓴 소설 속 안. 괜찮아, 어떻게든 널 행복하게 만들어줄게. 내가 이 소설의 원작자라고! 저는 단 한번도 누님을 가족이라 생각한 적이 없습니다. 남주 행복 프로젝트, 열심히 실천하고 있다고 생각했는데. 왜 나를 가족으로 인정해주지 않는거니? 남주가 공작이 되기 전까지 나, 무사히 살아남을 수 있을까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2434/c2/2x/682c7030-58f7-4108-b5ca-e99a07ad8003
2,모시던 아가씨가 도련님이 되어버렸다,시그마,월,로맨스 판타지,"조연에 빙의한 지 9년 차, 모시던 아가씨가 도련님이 되어 찾아왔다. 원작 여주인공의 시녀 생활을 청산한 지도 4년. 웬 잘생긴 남자가 찾아왔다. 그것도, 내가 모시던 아가씨를 닮은 남자가. 약속을 지키러 왔어, 블레아. 나와 평생을 함께하겠다고 했잖아. 설마 아가씨? 순간, 남자의 붉은 눈에 이채가 돌았다. 코앞까지 다가온 그가 고개를 기울여 내 머리카락에 입 맞췄다. 그리고 속삭였다. 아주 다정하고 아름다운 목소리로. 이젠 도련님이라 불러야지. 네? 원작대로라면 여주인공, 클로이는 후회에 찌든 가족들을 거느리고 남주인공 후보들과 해피라이프를 즐길 수 있었다. 하지만 연재 중지되었던 원작 소설에는 큰 비밀이 있었으니 여주인공이 알고 보니 남자라면 어떻게 되는 거지? 크 클로드, 가족들에게 가보지 않아도 괜찮아요? 말했잖아. 필요 없어. 그럼 저번에 그 남자분들은 . 지금 내 앞에서 다른 남자 이야기를 하겠다고? 그 남자들이 원래 당신이랑 이어져야 했을 남주인공들인데요. 나는 너만 있으면 돼. 다른 건 알 바 아냐. 가족 후회물의 주인공께서 모든 걸 다 뻥 차 버리고 내 곁에 있겠다고 선언했다. 그러니, 블레아. 너도 나만 보는 거야. 전에 없이 다정한 눈 속에 집착이 가득했다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2400/c2/2x/087ee538-b6c2-4208-9ac4-c7f9f44573a0
3,정령의 펜던트,빅피,월,학원/판타지,"제국의 살아 있는 전설, 란데르트 공작의 유일한 아들 바율. 어려서부터 환시와 환청을 겪으며 일상 생활에 어려움을 겪던 바율은 아버지의 강권으로 뒤늦게 캐링스턴 아카데미에 입학하게 된다. 집을 나오기 전의 우려와는 달리 바율은 아카데미 생활을 하며 따듯하고 개성 강한 친구들을 만나 조금씩 마음의 문을 열게 되고, 그곳에서 환시로만 알고 있었던 존재가 사라진 줄 알았던 정령임을 알게 되며 바율의 생활은 새로운 국면을 맞이하게 되는데 .",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2509/c2/2x/2a1a9cb8-8d3d-49bf-9c9b-fb6380158663
4,나는 이 집 아이,코튼,월,로맨스 판타지,"전생의 기억이 좀 있다는 것만 빼면 평범한 ? 사생아로서 시간을 보내왔다. 그러던 어느 날, 창녀인 어머니가 열한 살이 된 나를 아버지 앞으로 데리고 갔다. 1만 골드를 줘요. 2만 골드를 주지. 대신 이것에서 손 떼. 차가운 거래에 움츠러들어 있는데 그냥 부자인 줄 알았던 아버지가, 알고 보니 제국 유일의 공작이란다. 이제 난 어떻게 되는 걸까? 내가 정말 이 집 아이일까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2325/c2/2x/d5973da2-fbf9-40f0-91a6-be3e8f5f922a
5,8클래스 마법사의 회귀,테스,월,학원/판타지,"황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년. 나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다. 그러나, 자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사. 그런 괴물을 어찌 살려둘 수가 있겠나? 친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전, 시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다. 내가 원했던 참회란, 모든 것을 되돌려놓는 것. 인류 최초의 8클래스 마법사 이안 페이지. 그가 30년 전 과거로 돌아왔다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2514/c2/2x/de33f606-c13c-4ca2-9b5d-5e9a748fac95
6,그 악녀를 조심하세요!,열매,월,로맨스 판타지,"소설 속 희대의 악녀에 빙의했다! 싫냐고? 아니? 좋은데? 공작영애 돈 많은 백수인 것을 내가 마다할 리가! 꿀이나 빨면서 여유롭게 살기 딱 좋지 않은가? 원작 같은 건 다 떨쳐버리고 나의 삶을 사는 거야! 그렇게 다짐했던 내가 이 몸에 빙의한지 얼마 되지 않아 목격한 것은 나의 약혼남이자 원작의 남주인공인 황태자 이안 의 불륜 현장이었다. 내가 아닌 다른 여자를 품에 안고 시시덕거리는 그를 보며 나는 눈물 따윈 개뿔, 나오지도 않더라. 내 눈물은 비싸서 저런 쓰레기에게 흘리기엔 아깝거든. 눈물 대신 깊은 빡침을 담은 목소리로 물었다. 전하는 개자식인가요? 고구마밭에 떨어진 역대급 사이다 여주! 환장하는 원작을 뒤집어 엎기 위한 걸크러쉬 그녀! 이유? 여주가 똥차 같은 남주들에게 휘둘리기엔 너무 아까웠거든. 원작 여주에게 꼬이는 똥차들을 치우는 그녀와, 그녀만을 바라보는 늑댕이 한 마리의 이야기!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2371/c2/2x/81ab3266-40b0-4416-829a-ef3183ef8ace
7,불패검선,FIST CAT,월,액션/무협,시골 객점의 아들 송우문. 어릴 적부터 몸이 약했던 그는 어느 날 노도사가 그려 주고 간 산수화를 보고 바보가 된다. 그렇게 동네에선 바보라 놀림받고 부모에겐 한심한 아들로 자라지만 스무 살이 되던 날! 각성과 함께 산수화 속 절대무공을 꽃피운다!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1985/c2/2x/f2dfa833-b63a-4011-a34f-7b266169bcbd
8,화산권마,진선규,월,액션/무협,"자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다. 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다. 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2469/c2/2x/f1f44336-6d33-470a-a266-c3da0b1397e9
9,혼자 레벨업 합니다,방개,월,학원/판타지,"짐꾼으로 일하던 한열. 오매불망 기다리던 각성과 함께 헌터가 되다! 그런데 이게 웬일? 몬스터를 잡아서 레벨업을 하고, 행동을 통해 스킬을 획득하라고?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2430/c2/2x/af0c7811-b5e2-44d1-89d0-ccd5fb1a8986
