,title,author,day,genre,story,platform,Thumbnail
0,김 비서가 왜 그럴까,김명미,완결,로맨스,"천상천하유아독존, 신이 빚어낸 마스터피스, 이 세상 내 맘대로 안 되는 건 없는 유일그룹 부회장. 이영준 . 9년 동안 그런 이영준의 옆에서 개인, 수행, 의전비서, 때로는 운전기사, 또 때로는 파티 파트너까지 모두 소화했던 능력 만점 외모 만점, 비서계의 명장, 김미소. 환상의 콤비로 9년 간 함께 했던 두 사람이건만, 어느 날 갑자기 던져진 김 비서의 폭탄선언! 저, 이제 그만두려고요! 대체 왜?? 대체 김 비서가 왜 그러지?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2307/c2/2x/c6b197d3-ae47-4ab7-9ff8-c648b82c1a26
1,사내 맞선,들깨,완결,로맨스,친구를 대신해 나간 맞선 자리. 목표는 차이는 것! 컨셉은 남녀 가리지 않는 섹시 팜므 파탈! 강태무 씨 하시는 일은 뭐예요? 성운기업에 다니고 있습니다. 어머! 성운기업? 거긴 잘 알죠. 왜냐하면 . 우리 회사니까!!!!!!!! 내가 어쩌다가 우리 회사 사장님과 맞선을 본 거야 게다가 이 사장님은 왜 다짜고짜 결혼하자고 하는데?!!! 거짓말 극혐하기로 유명한 사장님. 정체를 들키는 순간 바로 해고닷! 하지만 난 회사 대출금이 있다고 과연 신하리는 무사히 회사를 다닐 수 있을 것인가?! 스릴 가득 ? 오피스 로맨스 사내 맞선,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2054/c2/2x/052d60c4-29e4-4319-b564-999c33c7df67
2,묵향 디 오리진,REDZIN,완결,액션/무협,"수많은 세력이 패권을 다투던 드넓은 중원의 무림. 어릴 적 마교에 납치되어 암살자로 훈련받은 2044호. 고된 훈련 속에서 목숨의 위협을 넘어 치열하게 살아남은 그는 실력을 인정받아 묵향 이란 이름을 얻는다. 그러나 묵향에게는 언제나 채워지지 않는 갈증이 있었으니, 그것은 바로 검의 길! 암살자로 사는 삶에 만족하지 못하던 그때, 묵향은 스승 환사검 유백 을 만나 인생의 큰 변화를 맞이하는데! 그는 자신이 좇던 탈마의 경지에 올라 무공의 정점에 오를 수 있을까?! 수많은 고수와 격돌하며 궁극의 무를 좇는 묵향! 전설적인 일대기의 서막이 다시 열린다!!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2468/c2/2x/91dd9c92-543e-4e0d-9661-be1136ff0399
3,군림단주,박충식,완결,액션/무협,"첫째, 영광스러운 순간에만 군림단의 이름을 입에 올려야 한다. 첫째, 임무는 직속 선임의 재량으로 선택된다. 첫째, 모든 군림 단원의 목표는 군림 단주다. 그것으로 갓 군림단에 들어온 용연의 목표가 정해졌다. 바로 군림 단주!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2425/c2/2x/2ddb662c-834e-44a9-92f8-d450808403ea
4,그림자 황비,킨립,완결,로맨스 판타지,"내 딸이 되어줄 수 있겠느냐? 프란체 대공의 제안으로 가짜 딸이 된 엘레나. 황비가 되어 황태자의 아들을 낳고 입지를 다지는데, 죽은 줄 알았던 베로니카 공녀가 눈앞에 나타난다. 그녀는 인형에 불과했다 결국 엘레나는 아이를 빼앗기고 죽임을 당하는데 . 그런데, 다시 과거로 돌아왔다. 당신들 다 부숴버리겠어. 다시는 인형으로 살지 않으리라 엘레나는 복수를 결심했다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2405/c2/2x/c3fd593f-03e9-4479-8cd4-fc9b56433b98
5,나는 마도왕이다,miro,완결,학원/판타지,"10년 전, 차원이 비틀리며 몬스터가 쏟아져 나왔다. 동시에 생겨난 초능력 각성자들이 몬스터를 잡으며 대세가 되는데... 성훈은 한 달에 네 번, 어머니의 병원비를 마련하기 위해 각성자의 사냥을 돕고, 뒤처리하는 위험천만한 짐꾼 으로 활동한다. 그러던 중 몬스터에게 큰 부상을 입고 전생을 기억하게 되는데... 어라, 나 죽었나? 나 전생에 대마도사 크라투라스였잖아!!! 전생의 기억을 가진 성훈의 갑질 마법이 시작된다!!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2337/c2/2x/57306b6e-028d-47b7-b56b-56ee051de41f
6,악역의 구원자,명랑,완결,로맨스 판타지,"모든 것을 걸어서라도 악역인 아제프의 운명을 바꾸겠노라 다짐한 여자, 엘제이. 자신 문장의 비밀을 숨기고, 그를 구원할 수 있을까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1654/c2/2x/741ca309-0fdc-4534-8ccc-34a0d58d1b78
7,악녀의 정의,윤쓰 REDICE STUDIO,완결,로맨스 판타지,"난 이미 내 황후를 정했고, 넌 구색 맞추기일 뿐이야. 바로 내가 제국의 황후가 될 거예요. 가장 친한 친구에게 남자친구를 뺏긴 날, 나는 실수로 한강에 빠지고 말았다. 그리고 눈떠 보니 악녀로 이름난 공작영애 샤르티아나 알티제 카일론이 되어 있었다! 알고 보니 이 샤르티아나 영애, 황태자를 그 연인에게서 가로채려 했다고 한다. 그런 악녀 따위는 절대로 되지 않을 거라고 다짐하고 싶지만 차기 황후 후보, 레지나 로 간택되는 순간 내 운명도 결정되었다. 레지나 후보는 둘, 나 샤르티아나와 황태자의 연인 아이린. 모략이 휘몰아치는 궁정에서 사랑하는 가족을 지키기 위해 철저한 악녀가 되어 황후의 자리를 쟁취할 수밖에 없다. 그런데 현실을 받아들이기로 결심한 순간, 차갑기만 했던 황태자 레오프리드가 다른 얼굴을 보이기 시작한다. 그리고 아이린과의 관계에도 무언가 비밀이 ? 사랑하는 사람들과 행복해지기 위해, 나는 희대의 악녀가 된다. 달콤살벌한 궁중 로맨스의 새로운 정의!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2318/c2/2x/66519591-40ce-43c1-ac3c-caee7c1f9dcc
8,그녀가 공작저로 가야 했던 사정,밀차,완결,로맨스 판타지,"의문의 사망 이후, 소설 속으로 빙의하게 된 재수생 박은하. 하지만 그녀가 빙의한 인물은 주인공도 아닌 약혼자에게 독살당해 죽는 엑스트라, 레리아나 맥밀런?! 그녀가 살아남을 유일한 길은 약혼자와의 파혼뿐! 레리아나 박은하 는 소설 남주, 노아 윈나이트에게 계약 약혼을 청하게 되는데 . 단 6개월만 약혼자 흉내를 내주신다면 그 후에는, 공작님 인생에서 깨끗이 사라져 드리죠. 좋아. 대신 내가 필요할 때에는 꼭 내 약혼녀로서의 역할을 해내 줘야겠어. 그러나 노아 이 자식 . 천사 같은 얼굴 뒤에 까만 속내를 감춘 악마보다 더한 놈이었다?! 그녀는 죽음의 운명에서 벗어날 수 있을까? 냉혈 공작, 노아 윈나이트 X 당찬 빙의녀, 레리아나 맥밀런의 파란만장 로맨스 판타지!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2314/c2/2x/96f71dd6-3c55-4f01-a9bf-6c81448381d6
9,외과의사 엘리제,mini,완결,로맨스 판타지,"서울대 최연소 의대 교수 송지현 ! 지난 과거 삶의 잘못을 만회하기 위해 의사로서 최선을 다해 살고 있었는데, 태평양 한가운데 1만 미터 높이의 비행기에서 비상탈출을 해야 한다고?!! 아찔한 순간 모든 게 끝났다고 생각했는데 어라? 눈을 떠보니 첫 번째 삶의 엘리제 로 돌아왔다? 첫 번째 삶의 엘리제 는 패악했지만, 두 번째 삶의 송지현 을 거쳐 다시 돌아온 엘리제 는 달라! 지난날의 과오를 갚기 위해 의사 송지현 의 지식을 이용해 의사로서 새로운 삶을 살게 된 엘리제 ! 그녀의 세 번째 삶은 과연...?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2316/c2/2x/f6532710-2c2f-4721-bb5c-75f22232986d
