,title,day,story,platform,author
0,바니와 오빠들,월,"외모 따지지 않는 개념녀 ? 아니, 나 완전 얼빠 야! 신입생 시절, 남자의 외모를 따지지 않는 개념녀라고 떠들었던 주인공 바니! 그러나 첫 남자친구에게 쉬운 여자 로 낙인되며 신입생 바니의 첫 연애는 쓰게 막을 내린다. 그리고 드디어 인정한 바니 자신의 얼빠 속성 ! 잘생긴 남자가 좋다 는 사실을 외쳐댄 지 얼마 후, 웬일인지 잘생긴 남자들이 자꾸만 꼬인다? 연애에 있어서는 자존감이 낮은 평범한 21살, 그런 바니에게 호감을 표현하는 5명의 미남자! 누구나 흑역사일 수밖에 없는 20대 초반의 연애, 바니는 자신을 진심으로 사랑해주는 좋은 사람과 행복한 연애를 꾸릴 수 있을까?",카카오웹툰,니은
1,사귄 건 아닌데,월,"스물아홉 살, 서른을 목전에 둔 나이. 고수아는 그 나이가 괜히 심란하다. 고향을 떠나 서울에서 일을 하고 있지만, 미래를 생각하면 고민이 많아진다. 이곳에서의 삶에 대한 확신이 없기에. 그러던 중 대학 시절에 짝사랑했던 후범과 재회하게 된다. 9년 만의 재회에 다시 살아나는 그때의 감정. 과거에 상처받았던 후범에 대한 마음을 봉합해 나가며 어린 시절에는 몰랐던 후범에 대해서 알아가게 된다. 수아에게 다가온 또 다른 남자, 상사 기초롱. 속 깊은 어른의 다정함을 보여주는 그가 당황스러우면서도 마음 한쪽에선 호감이 싹 튼다. 고민이 깊어진 스물아홉 살 수아가 자신의 마음을 찾아가는 이야기.",카카오웹툰,민홍
2,액괴,월,"일진들에게 수모를 당하며 황색망사점균을 먹게 된 교내 왕따 수와 진오. 그로 인해 신체에 변이가 일어나고 황색망사점균 블롭 의 특징과 힘을 가지게 된다. 여전히 학교 내에선 무시 받거나 괴롭힘 당하는 두 명의 아이들은 힘의 정체를 숨긴 채 차근차근 교내 먹이사슬을 장악해 가지만 하나 둘 나타나는 액괴의 흔적이 사회의 이슈가 되고, 변이된 블롭의 실험체를 만든 김수혁의 등장으로 싸움은 점점 커져 간다.",카카오웹툰,서강용
3,그 책에 마음을 주지 마세요,월,"로맨스 피폐 소설 루스벨라의 빛 엑스트라인 황제의 여덟 번째 황녀로 환생에 새로운 삶을 꿈꾸던 아실리 로제, 그런 그녀의 앞에 미래를 예지하는 일기장이 나타나는데 . 너에게 난 어떤 의미인가? 질문이 끝나자 황태자님이 예쁘게 웃더니, 날 죽였다. 피도 눈물도 없는 황태자에게 살해당할 미래만을 예고하는 일기장. 불행히도 아실리는 죽어도 죽어도 다시 살아나 계속 살해당했다. 반복되는 죽음 속에서 천천히 미소를 잃고 변해가는 아실리. 도무지 피할 길이 없는 죽음, 이 미래를 피해 생존할 수 있을까? 한데 어째서인지 메말라 갈수록 아실리 곁에는 사랑을 갈구하는 남자들이 모여드는데 . 제가 오라버니에게 무엇을 줄 수 있는데요? 이름을 불러 봐. 이 사랑은 모두가 진짜일까? 사랑합니다. 당신을 갖고 싶은 욕심은 사랑이 아닙니까? 다가오는 남자들의 진심은? 웃기지 마. 내 삶은 내 거야.",카카오웹툰,문시현
4,오무라이스 잼잼,월,"음식 과 가족 의 이야기를 담은 에세이 만화. 몇 개라도 먹을 수 있을 것 같은 메추리알 조림 , 빙글빙글 돌아가는 회전초밥 , 지구 반 바퀴 돌아 포르투갈에서 맛본 에그타르트 , 매콤상콤하게 볶아 입맛 도는 마라샹궈 , 짭짤한 밥도둑 간장게장 등 우리가 사랑하는 모든 음식들에 얽힌 흥미진진한 비화와 따스한 이야기가 펼쳐진다. 엄마, 아빠, 딸, 그리고 아들로 구성된 작가의 가족이 전하는 음식의 알찬 정보! 몸과 정신의 영양까지 챙기는 건강한 작품, 지금 시작됩니다!",카카오웹툰,조경규
5,독고3 [완전판],월,모든 일에 의욕을 잃고 표류하던 태진은 과거 당영고 씨름부 주장이었던 심상윤으로부터 영입 제안을 받게 되고 결국 현실과 타협하고 주먹의 세계에 몸을 담게 된다. 그리고 그 세계에 적응해나가면서 점차 나락으로 떨어짐을 느끼게 되는데... 독고 시리즈 중 가장 처절한 이야기가 펼쳐진다.,카카오웹툰,민(meen)
6,사랑하면 디져~트,월,"짝사랑에게 직접 구운 과자와 함께 고백하고 싶다는 로망이 있는 베이킹 똥손 시현. 드디어 인생 처음으로 단 하나의 쿠키를 만들어냈다. 어, 그런데 이걸론 고백 못 하겠다. 왜냐? 살아 움직이니까! 시현이 만든 쿠키인간 ? 진저는 시현의 고백을 돕겠다고 나서지만 하는 짓이 영 못 미덥다. 인간으로 변신해 말썽이나 피우지 않으면 다행. 제발 가만히 있어줘! 짝사랑의 고비는 진저뿐만이 아니다. 결정적으로 짝사랑 상대인 하성이 과자를 싫어한다... 엉망진창 험난한 세 사람의 사랑 이야기. 사랑하면서 무사히 살아남아라!",카카오웹툰,참치캔
7,뱀파이어님의 대리식사,월,"대신 먹어주기만 하면 되는 입주 대리식사 알바?! 가난한 대학생 강시영은 입주 대리식사 알바 면접을 위해 서울 외곽의 저택을 찾아가고, 어두운 방에서 김치찌개 먹는 면접을 보고 덜컥 채용되지만 보름달이 뜬 어느 밤, 고용주 피선호 의 정체를 알게 된다. 사실 그는 200년간 자가격리 중인 자살하기 직전의 우울증 클라이맥스를 겪고 있는 뱀파이어! 정체를 들킨 그는 최면을 걸어 기억을 지우려 했지만, 알 수 없는 이유로 실패하고 100일 뒤 다시 기억을 지우는 조건으로 재계약을 한다. 기억을 지우기까지 남은 100일. 동거하며 먹고 마시고 보고! 씁쓸한 인생에 찾아온 달콤한 먹부림 로맨스!",카카오웹툰,멜리
8,기숙사(死),월,사람이 네 명이 모이면 한 명은 정상이 아니다 요리과가 있는 세이 미디어 고등학교로 2학기 편입을 한 평범한 학생 김민제는 기숙사 4인실에 입사하게 된다. 하지만 룸메이트들은 모두 하나같이 정상이 아니었고 오히려 평범한 김민제를 이상한 사람 취급을 한다. 다수에 의해 결정되는 비정상. 김민제는 1학기 때 자신과 같은 일을 겪었던 고병철과 함께 살인 계획을 짜며 정말로 점점 정상이 아니게 되어가는데..,카카오웹툰,이제환
9,그라티아,월,"예수가 창조했다고 알려진 무한한 힘을 지닌 권능의 열쇠 ! 10년 전, 그것을 얻기 위해 나타난 대악마 사탄으로 인해 뉴욕이 붕괴하고, 살아남은 유일한 생존자, 전설의 엑소시스트 진오기는 악마에게 빼앗긴 권능의 열쇠를 찾아 전 세계를 돌아다닌다. 열쇠의 흔적을 쫓아 서울에 도달한 진오기는 씩씩한 소녀 길가온을 만나고, 반 년 전에 자살로 죽은 친구 귀신을 지키는 가온에게서 엑소시스트 가능성을 본다. 진오기를 만난 후, 친구를 지키지 못했다는 자책감을 지니고 있던 가온도 소중한 사람을 지키기 위해 엑소시스트가 되기로 결심한다.",카카오웹툰,상민
