,title,day,genre,story,platform
0,우선 남동생부터 숨기자,월,로판만화,"하필이면 19금 다공일수 피폐 만화에 수의 하나뿐인 누나로 빙의하고 말았다! 재수없게도 광공 남주가 끔살시킬 첫 희생자가 누나인 나라니요 . 이렇게 죽기 싫으니 전략을 짜자. 우선, 또라이 공의 시야에서 남동생을 숨기는 거야!",카카오페이지
1,이번 생은 가주가 되겠습니다,월,로판만화,"한번 해 보자. 내가 가주가 되는 거야. 제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아. 게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한 말그대로 제국의 역사 자체! 금수저 오브 금수저 인생 당첨! 앞으로는 탄탄대로일 거라 생각했는데 . 아버지는 돌아가시고, 친척들은 문전박대, 거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!! 분통을 터트리며 술을 조금 ? 많이 마시며 돌아가는 길, 마차에 치여버리기까지! 이건 해도 해도 너무하잖아 . 하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?! 사랑하는 아버지를 다시 보는 것도 믿기지 않는데, 내가 아버지와 가문을 살릴 수도 있다고? 거기다 회귀 전 가문의 원수, 2황자가 대형견마냥 졸졸 쫓아다니기까지?! 좋아, 이렇게 된 거 2황자도 가문도 다 내 거다! 환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트! 표지 및 타이틀 로고 디자인 조정원 웹툰 이번 생은 가주가 되겠습니다 는 매주 월요일, 주1회 연재됩니다.",카카오페이지
2,묵향 다크레이디,월,소년만화,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들 혈교 에 의해 생전 처음 보는 생소한 이세계 판타지 세계 로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상 무림 으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리. 한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 묵향 이 드디어 만화화!! 한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 묵향 을 만화화! 만화의 내용은 원작의 2부격인 다크레이디 편에서부터 시작한다.",카카오페이지
3,튜토리얼이 너무 어렵다,월,소년만화,"퓨전 판타지 장편소설 39 튜토리얼이 너무 어렵다 39 가 웹툰으로 독자 여러분을 찾아갑니다. 삶이 무료하던 어느 날, 내 눈앞에 나타난 초대 메세지. 튜토리얼 세계에 입장하시겠습니까? 그리고 뒤이어 나타난 난이도 선택 창. 이지 노말 하드 헬 나는 주저없이 헬 난이도를 선택했다. 그리고 후회했다. 아무리 헬 난이도라지만, 이건 너무 심하잖아.",카카오페이지
4,8클래스 마법사의 회귀,월,소년만화,"황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년. 나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다. 그러나, 자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사. 그런 괴물을 어찌 살려둘 수가 있겠나? 친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전, 시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다. 내가 원했던 참회란, 모든 것을 되돌려놓는 것. 인류 최초의 8클래스 마법사 이안 페이지. 그가 30년 전 과거로 돌아왔다.",카카오페이지
5,학사재생,월,액션무협만화,"일곱 번의 밤을 거쳐 천하제일이 된 사내, 황준우. 오랜 싸움 끝에 천지 에서 죽음을 맞이했다. 헌데 눈을 떠 보니 갓난아기! 집안은 천하제일의 황금을 축적한 만금장! 고되기만 하였던 전생과 달리 금수저를 물고 태어나 버렸다! 신명나게 인생을 즐기는 한 사내의 일대기... 가 될 뻔 했으나, 인생은 그리 호락호락하지 않다! 34 그런데 아버지, 도대체 공부는...... 왜 시키시는 겁니까? 34",카카오페이지
6,나는 이 집 아이,월,로판만화,"전생의 기억이 좀 있다는 것만 빼면 평범한 ? 사생아로서 시간을 보내왔다. 그러던 어느 날, 창녀인 어머니가 열한 살이 된 나를 아버지 앞으로 데리고 갔다. 1만 골드를 줘요. 2만 골드를 주지. 대신 이것에서 손 떼. 차가운 거래에 움츠러들어 있는데 그냥 부자인 줄 알았던 아버지가, 알고 보니 제국 유일의 공작이란다. 이제 난 어떻게 되는 걸까? 내가 정말 이 집 아이일까?",카카오페이지
7,뒤끝작렬,월,드라마만화,"야, 착각하지마. 난 한번도 널 동생으로 생각한 적 없어. 주제를 모르고 가슴을 파고드는 비수였다. 한명우. 명석한 두뇌와 재벌가의 자식이었다. 다만 하늘은 모든 걸 주지않았다. 불치병 수준인 선천적 심장병. 이를 악물고 인정받기 위해 최선 또 최선을 다했다. 그러나 아버지인 회장을 비롯해 식구 그 누구도 진심으로 대하지 않았다. 그러던 그가 급작스런 사고를 당했다. 그리고...... 치명적인 부상을 당한 대학생 김철민의 몸으로 들어갔다. 건강하다. 아니 건강하다못해 넘친다. 잘돌아가는 머리에 체력까지....... 이제 두 마리 토끼를 잡으러 간다. 꼭 두 마리 토끼여야 했다.",카카오페이지
8,나를 기억하나요,월,로맨스만화,"코흘리개 3학년을 좋아하는 6학년이라니! 그 시절, 3살 어린 남자애를 좋아한다는 사실이 놀림감이 될까봐 두려웠던 지현은 자신의 마음을 숨기고 되려 중학생이었던 그 애의 형을 좋아한다고 거짓말을 한다. 그럼에도 불구하고 자신을 찾아와 용기내어 고백하던 어린 남자애... 하지만 그 고백에 아무런 답도 하지 못한 채 그 애는 이사를 떠나고... 이 후 20년 가까이 만난 적도 떠올린 적도 없다. 고 생각했었다. 그런데 이게 웬일... 서른살이 된 생일 아침 깨닫고야 만 것이다! 어언 20년. 자신의 무의식이 그토록 좋아했던 남자들이 하나같이 그 애와 닮아있다는 사실을...! 한 순간에 39 나 39 를 17년 전 여름으로 돌려놓은 그 아이. 지금 어디에서 어떻게 지내고 있을까?... 그 아이도 나를 기억하고 있을까?!",카카오페이지
9,환골탈태,월,드라마만화,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발.... 이 해괴하고 귀여운 생물체는 대체 무엇?! 해골 스켈레톤 은 독립하면서 아기 고양이를 기르기로 한다. 드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이! 그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나? 인간계 대행 서비스 센터는 연결이 되지 않고, 졸지에 돌연변이 아기 고양이를 떠맡은 해골! 설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데.... 아기 고양이... 키울 수 있을까?! 마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 육아 대작전이 시작합니다!",카카오페이지
