,title,day,genre,story,platform
0,다행인지 불행인지,일,로판만화,"어쩌다 보니 여주인공 등장 전, 남주의 아내 역할을 잠시 맡게 됐다. 이왕 그렇게 된 거 최선을 다해 보려 노력했다. 그랬더니 너 같은 아이가 세드릭의 반려가 되어 다행이구나. 세드릭의 운명적 상대가 나면 그녀는 떠나야만 한다. 어떡하지? 이런 나에게 세드릭이 말했다. 내가 사랑에 빠진 상대가 당신일 거라는 생각은, 단 한 번도 해본 적 없었습니까? 여주인공 아델라인이 등장하고 나서도, 똑같이 내게 그렇게 말해줄 거야?",카카오페이지
1,양판소 주인공의 아내로 살아남기,일,로판만화,"양판소 주인공의 아내로 빙의했다. 정확히, 주인공의 손에 죽는 악역 조연 겸 사치스런 아내로. 그래도 어렸을 때부터 잘 대해주면 목이 잘리는 상황은 막을 수 있지 않을까? 좋아. 지금부터 내 목표는 평화롭게 이혼하는 것! 그래서 내가 이혼해주면 냅다 노아한테 달려가시겠다? 으, 응? 난 내 아내랑 동생이 노닥거리는 꼴을 보려고 전쟁터에서 그 고생을 한 게 아니니까! 아니 거기서 네 동생 이름이 왜 나와?",카카오페이지
2,악녀는 오늘도 즐겁다,일,로판만화,"남친을 빼앗아간 친구가 웃으며 청첩장을? 하! 시원하게 사이다를 날려주고 돌아와 잠들었는데 깨어나니 미모, 재산, 지능 모든 걸 다 갖춘 로판 속 악녀로 빙의했다. 언니한테 부족한 건 남자 보는 눈뿐이에요. 쓰레기 같은 황태자는 여주한테 버려버리고 우리 돈과 권력을 시원하게 누려보아요!",카카오페이지
3,아파도 하고 싶은,일,로맨스만화,"그 를 아주 오랫동안 짝사랑해왔다. 하지만, 그에게 하연은 여자가 아니었다. 좋게 봐야 같은 동아리 후배, 더 나아가서는 같은 직장에 다니는 여자애. 그냥 그 정도. 그랬던 그가 결혼을 한다? 선봐서 곧 결혼할 거야. 되도록 이른 시일 내에. 모르는 여자와의 계약 결혼을 할거라는 남자의 말에 하연은 오랫동안 간직했던 감정을 억누르지 못했다. 꼭 하셔야 한다면 . 저랑 해요, 그 결혼. 서투룬 유혹, 남자의 단단한 등에 매달려 뜨거운 입술을 겹쳤다. 발칙한 후배의 도발. 선배는 화를 낼까. 아니면 미쳤다고 비웃을까. 그러나 남자의 입에서 나온 말은 예상외의 것이었다. 할 거면 제대로 해야지. 아파도 하고 싶은",카카오페이지
4,왕의 딸로 태어났다고 합니다,일,로판만화,스물 여섯. 불미스런 사건으로 소박하지만 아름답던 연인 진수와의 사랑을 뒤로하고... 새로운 세계에서 공주님으로 환생한 수희. 하지만 이곳은 남존여비가 팽배한 세상! 공주님 에게도 예외는 없다!! 상희 라는 이름으로 다시 환생한 그녀의 눈에 이 세상은 작은 것 하나하나 마음에 들지 않는다. 세상을 바꾸겠다는 당찬 포부와 함께 그녀의 앙큼한 반란이 시작된다 .,카카오페이지
5,밥만 먹고 레벨업,일,소년만화,"전 세계에 단 두 명만 존재하는 희귀병 폭식 결여증에 걸린 주인공. 하루하루 살기 위해 먹는 걸 조절하며 살아가고 있지만 희망이 없어보인다, 의사의 추천으로 시작하게 된 가상현실게임 39 아테네 39 에서는 음식을 마음껏 먹고도 살이 찌지 않는데. 살기 위해 게임을 하며 성장하는 식도락 판타지 라이프!",카카오페이지
6,갓 오브 블랙필드,일,소년만화,"34 ? 34 프랑스 외인부대의 전설 39 강찬 39 ! 아프리카 전장에서 그를 상대한 자들은 공포와 경외를 담아 39 갓 오브 블랙필드 39 검은 땅의 신이라 불렀다. 하지만 수니파 추종 세력 의 수뇌인 마살란 사살 작전에 투입된 강찬은 배후에서 날아든 의문의 총알에 전사하게 되고, 점점 감기는 시야 사이로 압도적인 열세에 자신을 믿고 따르던 동료들이 하나 둘 목숨을 잃어가는 것을 마지막으로 무기력하게 눈을 감는다. 그렇게 배신을 당해 죽음을 기다리고 있던 강찬은 의문의 힘에 의해 3년의 시간을 넘어 39 강찬 39 으로서 대한민국으로 돌아오게 되지만, 그는 19살의 왕따를 당하는 또 다른 39 강찬 39 이었다. 배신자의 복수, 환생에 얽힌 진실을 찾기 위한 강찬의 여정이 시작 된다!",카카오페이지
7,내 동생 건들면 너희는 다 죽은 목숨이다,일,드라마만화,"어느날, 침대에서 굴러떨어졌다가 눈을 떠보니 소설 푸른 별밤의 아스테리온 에 빙의했다. 그것도 이런 저런 못된 놈들 등쌀에 못 이겨 자살하는 막장 스토리의 주인공, 아스테리온 의 누나, 로잘리테로! 문제는, 내 동생 아스테리온이 죽으면, 내가 열여섯살 로잘리테로 돌아오게 되는 시스템이라는 것! 그렇다면 수많은 막장 똥차들에게서 동생을 지켜내고, 반드시 무한회귀를 막아주겠어! 끝내주는 재벌이든, 한 나라의 왕자든, 바다 건너 제국 황태자든, 아무튼 그 누구라도 내 동생 건들면 너희는 다 죽은 목숨이다",카카오페이지
8,왕녀는 미친 척을 한다,일,로판만화,죽고 죽이는 왕위 계승식에서 오빠에게 독살당한 후 과거로 돌아온 리즈벨. 생존을 위해 미친 척 연기하지만 또다시 죽을 위기에 놓인다. 그때 리즈벨의 눈앞에 구세주처럼 나타난 마법사 아시어스. 당신의 입맞춤을 받으려면 뭘 해야 할까요? 이건 거래야. 내가 죽지 않게 도와주면 키스해 줄게. 좋아요. 어차피 당신이 내가 아닌 이의 손에 죽게 둘 생각은 없거든. 온 힘을 다해 생을 향해 걷는 여자와 죽음을 위해 살아가는 남자의 불꽃 튀는 로맨스!,카카오페이지
9,신데렐라를 곱게 키웠습니다,일,로판만화,"유명한 동화가 있다. 아버지와 새어머니가 결혼해 언니들까지 다섯 명의 대가족이 된 마음씨 착한 아가씨. 아버지가 돌아가신 뒤 마음씨 고약한 새어머니와 언니들 밑에서 구박받는 불쌍한 그녀. 바로 그 동화, 신데렐라에 빙의했다. 그런데 하필이면 신데렐라도 아니고, 계모의 몸이란다. 서른일곱 살에 두 번이나 남편과 사별하고 심지어 딸까지 셋 딸린! 세 딸을 건사하느라 정신없는 나에게 자꾸만 접근하는 남자, 다니엘 윌포드. 키스해도 될까요? 사윗감으로는 아무래도 나이가 좀 많은 것 같은데 왜 자꾸 접근하지? ...아, 모르겠다. 일단 신데렐라를 왕자와 결혼시키고 조용히 살아야지. 그런데 이 동화는 정말로 39 신데렐라 39 일까...?",카카오페이지
