title,writer,illustrator,genre,story,platform,thumb,url
나라 구한 전생,양키풀,양키풀,드라마,"아버지의 빚 문제로 폐공장에 납치되어 있던 한자인은 재수 좋은 남자 천운조의 등장으로 무사히 풀려나게 된다. 며칠 후, 새 학기가 시작되고 신입생 한자인은 자신의 학교에서 천운조와 그의 친구들을 만나게 된다. 자신들을 전생에 나라를 구한 영웅이라고 소개하는 천운조와 친구들, 그들의 특별한 능력을 눈으로 볼 수 있는 한자인, 그리고 한자인을 노리는 수수께끼의 인물까지. 전생을 기억하는 능력자들과 그 중심에 있는 한자인, 그들에게 과연 어떤 운명이 기다리고 있을까?",네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/778741/thumbnail/thumbnail_IMAG10_cd74c2d1-4a70-4bc0-bb97-c8cb082b0a82.jpg,https://comic.naver.com/webtoon/list?titleId=778741
모죠의 일지,모죠,모죠,개그,소신있는 취향과 내성적인 성향.훌륭한 집순이 모죠의 은밀한 비밀들,네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/728015/thumbnail/thumbnail_IMAG10_f31cda1b-72fa-409e-b1ab-9c4a4e212696.jpg,https://comic.naver.com/webtoon/list?titleId=728015
밤하늘에 구름운,견지,그리온,로맨스,"망겜 <검풍 온라인>의 NPC 초낙운, 서윤의 평범했던 일상에 등장!?NPC와의 좌충우돌 로맨스지상최대공모전 1기 우수상 수상 작품",네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/736274/thumbnail/thumbnail_IMAG10_d1ab3c65-38aa-45a9-978b-fec6693e5c1c.jpg,https://comic.naver.com/webtoon/list?titleId=736274
롤랑롤랑,자유,자유,판타지,코기 왕자 롤랑과 마녀 루이사의 모험 이야기.베일에 숨겨져 있던 대사제의 과거와 교단의 비밀이 드디어 밝혀지는데...,네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/715935/thumbnail/thumbnail_IMAG10_9b592a70-da0a-4637-8824-0444f9083247.jpg,https://comic.naver.com/webtoon/list?titleId=715935
샹치,진 루엔 양,다이크 루언,액션,"지도자 젱 주의 죽음 이후 모습을 드러내지 않았던 사악한 고대 비밀 집단.하지만 힘의 균형을 맞추기 위해 그 후계자가 정해졌으니,바로 젱 주의 아들… 샹치다! 평탄치 않은 가족 재결합을 통해 샹치는자신에게 있는지도 몰랐던 형제자매의 존재를 알게 되는데,과연 믿어야 하는 이는 누구이며 그를 죽이려는 자는 누구인가?샹치는 목숨을 걸고 힘겹게 진실에 다가설 것이다.그런데 샹치를 구할 수 있는 사람이… 아버지라니? 그자는 죽은 것 아니었던가?!",네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/779644/thumbnail/thumbnail_IMAG10_5a73715d-1b62-4166-b045-0c4cdf7431cc.jpg,https://comic.naver.com/webtoon/list?titleId=779644
언메이크,박화랑,박화랑,판타지,"멀지 않은 미래, 미세먼지 폭풍으로 인류는 맑은 공기를 잃었다.목에 이식하는 기생 필터의 개발로 위기를 극복했다고 생각했지만,기생 필터가 변이를 일으키며 세상은 다시 한번 위기에 빠지는데...",네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/746535/thumbnail/thumbnail_IMAG10_f4602b05-cd1a-447d-9c6e-013ebe1ab4af.jpg,https://comic.naver.com/webtoon/list?titleId=746535
산신의 주인입니다,뇽,뇽,로맨스,"요괴의 저주를 받아 심장을 잃은 산신이1000년의 근신생활 끝에 자신의 심장을 찾아 인간세상으로 나오면서 벌어지는 시끌벅적 코믹 로맨스판타지 ""심장아, 나 너 찾고있냐...?""",네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/778740/thumbnail/thumbnail_IMAG10_ffee8b93-b8bd-4804-a313-edd79de756cb.jpg,https://comic.naver.com/webtoon/list?titleId=778740
구름이 피워낸 꽃,비온후,비온후,로맨스,이름뿐인 왕녀에서 진정한 왕녀로!아름다운 연꽃 아래 가려진 궁중 로맨스,네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/727476/thumbnail/thumbnail_IMAG10_06e0ab0b-ab95-461e-887c-318b5e876f68.jpg,https://comic.naver.com/webtoon/list?titleId=727476
욕망일기,김주인,박태준 만화회사,스릴러,"[단편 옴니버스] <외모지상주의> <인생존망> <싸움독학>의 뒤를 이은 박태준 작가가 참여한 신작! 인간이라면 누구나 가질 법한 욕망, 그리고 그 끝은 과연 행복일까, 파멸일까...그가 그리는 새로운 세계로 빠져들어가보자",네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/762071/thumbnail/thumbnail_IMAG10_678df15d-10da-4118-a778-cd17f0ca4667.jpg,https://comic.naver.com/webtoon/list?titleId=762071
유미의 세포들 외전 : 프로 직장인,이동건,이동건,로맨스,"<유미의 세포들> 드라마화 기념 특별외전. ‘대한국수’ 회사원 시절 유미의 숨겨진 이야기!직장인 스킬을 자유자재로 사용하며 살아남는 업무력 만렙 김유미.어느 날 나타난 한 신입사원 앞에서는 이상하게 스킬이 발동되지 않는다.전남친과 이름이 똑같은 그 남자, 우기.",네이버 웹툰,https://shared-comic.pstatic.net/thumb/webtoon/778153/thumbnail/thumbnail_IMAG10_79771f0c-2c67-45af-91d3-748eb57aa70d.jpg,https://comic.naver.com/webtoon/list?titleId=778153
